feature,importance
yahoo_brent_ma5,17
yahoo_treasury_5y_ma22,17
fed_rate_lag1,16
yahoo_treasury_5y_ma5,16
yahoo_dxy_ma22,16
yahoo_sp500_ma5,15
unemp_us_lag1,12
si_fut,11
idx_MOEXFN_rv_annualized_ma22,11
idx_MOEXOG_rv_annualized_ma5,10
m2_ru,10
key_rate_cbr_diff1,10
fed_rate,10
idx_RGBI_rv_annualized_ma22,9
idx_CNYRUB_TOM_rv_annualized_vol22,8
idx_RGBI_rv_annualized_vol22,6
pmi_ru_lag1,6
yahoo_tbill_3m_vol22,4
pmi_ru,4
fed_rate_diff1,3
cpi_us,3
idx_MOEXOG_rv_annualized_ma22,1
cpi_us_diff1,0
key_rate_cbr_lag1,0
cpi_ru,0
key_rate_cbr,0
pmi_ru_diff22,0
cpi_us_lag1,0
pmi_ru_diff1,0
m2_ru_diff1,0
cpi_ru_diff1,0
unemp_us_diff22,0
unemp_us_diff1,0
cpi_ru_diff22,0
cpi_ru_lag1,0
