window,H=1,H=5,H=22
20,0.3841071358767629,0.7904504538656082,0.8312286152916382
40,0.3835729678395757,0.7939336655387568,0.8414333744580321
60,0.38386874236231056,0.7942171476460431,0.843654006248565
90,0.38367296540827234,0.7958182085796895,0.8462929400852148
120,0.38385361140540947,0.7965906501840777,0.8492581061252955
