Model,H=1,H=5,H=22
V1_Adaptive,0.3822527851754837,0.7717299412907201,0.8609111656730193
V2_MultiVal,0.3742947967105254,1.1304197582434994,0.8739685891616338
V3_Regime,0.3773287039840888,1.135947900647548,0.8663409581329407
V4_Shrinkage,0.3782803523474354,1.241445117671184,0.8636475369970573
V5_Combined,0.37616615220816346,1.239360483854059,0.8705944395495784
HAR-J,0.5232926427359186,0.7733592457612855,0.9290264312556442
XGBoost,0.40305314485725285,0.9186293711234607,1.0797544515308957
LightGBM,0.381464949902014,1.5936501440804038,0.8443823813764386
BestSingle,0.3769586435814865,0.7689130748147631,0.8517005748278508
