Model,QLIKE,MSE,MAE,R2,N
HAR-J,0.7733592457612855,3.3288542690521594e-05,0.0004305009091004278,0.0031862004210984063,39488
XGBoost,0.9186293711234607,3.3410907306760396e-05,0.0004464891768659732,-0.00047796533049360157,39488
LightGBM,1.5936501440804038,0.0022353781392170716,0.01775285000643557,-65.93761866250293,39488
Hybrid,1.3688895968079302,0.00038515799330203856,0.0073240051166211404,-10.533421763485869,39488
