year,horizon,V1_Adaptive,V2_MultiVal,V3_Regime,V4_Shrinkage,V5_Combined,HAR-J,XGBoost,LightGBM,BestSingle
2017,1,0.2561610133361861,0.25321743963896776,0.25321743963896776,0.25321743963896776,0.25321743963896776,0.2745061743457289,0.2618158028749368,0.32436275607958975,0.2745061743457289
2018,1,0.3499745591264852,0.33785696631011364,0.33785696631011364,0.33541613749983257,0.33541613749983257,0.41761346249995523,0.34189437257935623,0.3610138391807888,0.34189437257935623
2019,1,0.27785369305697866,0.27487379491041786,0.2762941901052808,0.27561313598651543,0.2750139317348498,0.3051889596626139,0.2765870679794831,0.28979907568122265,0.2765870679794831
2020,1,0.3534272622367964,0.32468413104225624,0.33057900433626247,0.3297318641610328,0.32286950196164727,0.46404953474193733,0.35020839231074014,0.309079293500833,0.35020839231074014
2021,1,0.23003737879349878,0.22638397714770908,0.22739492122352054,0.22615168513624212,0.22755881195090744,0.2955788793782226,0.2417569740376411,0.23233039689429894,0.23233039689429894
2022,1,0.6798892959835218,0.6552825387279757,0.6687386501010926,0.6860472893123924,0.6747218628110786,1.3068849178467143,0.7505249421428883,0.6255816784764333,0.6255816784764333
2023,1,0.38492279300822413,0.3820167346581304,0.3810567274026282,0.38143103014615043,0.384098424060758,0.4777542755917895,0.42922235909612966,0.3810567274026282,0.3810567274026282
2024,1,0.31229313111788926,0.31312519001414774,0.31268380880917224,0.30877999653865235,0.3087676382268257,0.43780248369780816,0.3372632857392348,0.31387863658461934,0.31387863658461934
2025,1,0.5718058176204085,0.5733152584199367,0.5801750958934414,0.5814082658062322,0.576884585122117,0.7373323985166415,0.6126890967928151,0.5684446814029694,0.5684446814029694
2017,5,0.3183342675641093,4.1988826693002625,4.1988826693002625,4.1988826693002625,4.1988826693002625,0.2948379169044094,0.3329214852593612,5.28722011862743,0.2948379169044094
2018,5,0.44263945934751375,0.4451352167796942,0.4451352167796942,1.4437182617756152,1.4437182617756152,0.48196388982695154,0.4321199095483098,3.478608367303519,0.48196388982695154
2019,5,0.39305513802583153,0.3851150011926364,0.39347068805592705,0.3873053871220162,0.3820520123432046,0.42427131866858764,0.39520639583432826,0.38153595780044414,0.39520639583432826
2020,5,0.4977451913232099,0.5390815903641,0.5137911107503375,0.4973627903382983,0.5350219959212349,0.5718032724299447,0.8972928878334896,0.5593951568487305,0.5593951568487305
2021,5,0.3044977162456803,0.311629064042904,0.2982924953712588,0.300825083541477,0.300825083541477,0.3286499849486805,0.3978910013018075,0.4081397339812005,0.4081397339812005
2022,5,3.5741844323486,2.9642292412441003,3.0521558948077407,3.075565800670119,3.0127599228367767,3.2637817957079114,4.455581426587081,2.7232107342809635,3.2637817957079114
2023,5,0.4448396111994041,0.4531396117544363,0.5007183051347461,0.47408665177253373,0.43870523480659196,0.5125099374301717,0.46334178227145,0.5007183051347461,0.5007183051347461
2024,5,0.5098019734513796,0.5058104542578273,0.4535649734964195,0.448267807247753,0.4926683858327067,0.5472141857779154,0.5217965768684404,0.596581897261687,0.5217965768684404
2025,5,0.6963470668553926,0.6518363135358511,0.6556050387000897,0.6526843602752833,0.6506996053356877,0.7372593010664935,0.7035210954594895,0.7259949799531775,0.7035210954594895
2017,22,0.33929805292367343,0.31383709358394374,0.31383709358394374,0.31383709358394374,0.31383709358394374,0.31812647846916886,0.3477583202893904,0.3643040529344124,0.31812647846916886
2018,22,0.449224588732821,0.4473606172724031,0.4473606172724031,0.4463141669633119,0.4463141669633119,0.4592596989539378,0.4535116458545949,0.4619601501233244,0.4592596989539378
2019,22,0.4483917831212405,0.4415788047339574,0.4439343253064414,0.4442752343889262,0.4422877296222293,0.46694389849915574,0.46888094630652966,0.4550950907226274,0.46888094630652966
2020,22,1.0073101827842479,0.9918481983701026,1.0073101827842479,0.9930855520668417,0.9838642432109368,1.151861718402396,1.005680917644723,0.9607044614558832,0.9607044614558832
2021,22,0.44546496297477106,0.4604764875297001,0.4853968326891735,0.47718218114862654,0.45693192206752015,0.49237515228264306,0.5603325246247892,0.4760414586454385,0.4760414586454385
2022,22,3.4561835961175693,3.697083677307302,3.4770308772099474,3.581434203073564,3.7452326768731528,3.890384250002075,5.4816576551806735,3.2008888670168747,3.2008888670168747
2023,22,0.5196129660044712,0.5558321399402855,0.6254642806641765,0.5811973694964966,0.5112046890355851,0.5014641936372608,0.4604581272981049,0.6254642806641765,0.6254642806641765
2024,22,0.6013995681524462,0.5181072381950236,0.548613727288838,0.5043335489012492,0.511852928312763,0.6426943487526098,0.6241217483379591,0.6289121293477264,0.6241217483379591
2025,22,0.7218350685424139,0.7053758245632218,0.6971404368593793,0.6900294918528289,0.6953717095114387,0.7244559577136546,0.7440655737297105,0.6585039318860765,0.7440655737297105
