feature,importance
yahoo_treasury_5y_ma5,18
yahoo_treasury_10y_lag1,18
fed_rate_diff1,17
sp500,17
si_fut,16
yahoo_sp500_ma5,15
cpi_us_diff22,15
yahoo_vix_vol22,14
yahoo_treasury_5y_lag1,13
yahoo_sp500_lag1,12
yahoo_tbill_3m_lag1,12
fed_rate_lag1,11
key_rate_cbr,11
yahoo_treasury_5y_ma22,10
m2_ru_diff22,9
pmi_ru_diff22,7
cpi_ru_diff1,7
m2_ru,7
cpi_us,6
m2_ru_diff1,5
brent,5
yahoo_wti_ma5,4
wti,4
idx_CNYRUB_TOM_rv_annualized_vol22,4
cpi_ru_diff22,4
key_rate_cbr_lag1,4
pmi_ru_diff1,3
fed_rate_diff22,3
key_rate_cbr_diff22,3
cpi_us_diff1,2
pmi_ru_lag1,2
cpi_us_lag1,2
pmi_ru,2
unemp_us_lag1,0
key_rate_cbr_diff1,0
cpi_ru_lag1,0
unemp_us,0
cpi_ru,0
unemp_us_diff22,0
unemp_us_diff1,0
