feature,importance
close_MOEXOG,16
yahoo_brent_ma5,16
si_fut_lag1,16
pmi_ru_diff22,15
tbill_3m,15
idx_MOEXMM_rv_annualized_ma22,14
yahoo_brent_ma22,14
yahoo_eem_lag1,14
si_fut,14
cpi_ru_diff22,12
idx_MOEXOG_rv_annualized_ma22,12
yahoo_treasury_5y_ma22,12
idx_MOEXCN_rv_annualized_ma22,11
yahoo_sp500_lag1,10
yahoo_wti_ma5,10
yahoo_tbill_3m_ma5,10
yahoo_sp500_ma5,9
m2_ru_diff1,7
m2_ru,7
pmi_ru_lag1,6
unemp_us_diff22,6
cpi_ru,5
close_RGBI,4
fed_rate_lag1,4
key_rate_cbr_lag1,4
key_rate_cbr,4
pmi_ru,4
cpi_us,3
key_rate_cbr_diff22,2
pmi_ru_diff1,1
key_rate_cbr_diff1,1
unemp_us_diff1,1
cpi_ru_lag1,1
cpi_us_diff1,1
cpi_us_lag1,0
unemp_us,0
cpi_ru_diff1,0
unemp_us_lag1,0
