feature,importance
rv_q,608
rv_m,404
close,307
rv_w,278
rv_2w,164
rv_d,158
cpi_us_diff22,149
volume,144
idx_CNYRUB_TOM_rv_annualized_ma22,139
yahoo_brent_vol22,131
rv_evening,127
yahoo_gold_ma22,118
yahoo_wti_vol22,117
idx_RVI_rv_annualized_ma5,112
rv,111
rv_morning,110
yahoo_eem_ret5,102
bv,96
yahoo_dxy_vol22,91
yahoo_dxy_ret22,85
si_fut_diff22,82
yahoo_gold_ret1,80
idx_MOEXCN_rv_annualized_ret5,78
yahoo_gold_ret22,78
yahoo_wti_ret5,77
yahoo_treasury_10y_vol22,73
yahoo_eem_ma5,73
idx_MOEXFN_rv_annualized_ret5,73
idx_MOEXCH_rv_annualized_ma5,70
idx_MOEXOG_rv_annualized_vol22,68
rv_midday,66
close_MOEXTL,66
rkurt,63
idx_MOEXMM_rv_annualized_ma22,60
yahoo_treasury_10y_ret22,59
idx_MOEXFN_rv_annualized_ma22,59
idx_RGBI_rv_annualized_ma5,59
yahoo_dxy_ret5,57
rv_MOEXMM,57
close_MOEXEU,54
idx_RGBI_rv_annualized_vol22,52
rsv_pos,51
rsv_neg,49
m2_ru_diff22,49
yahoo_brent_ret5,48
yahoo_treasury_5y_ret22,47
yahoo_tbill_3m_vol22,46
idx_RVI_rv_annualized_ret22,46
idx_MOEXCN_rv_annualized_ma5,46
idx_MOEXEU_rv_annualized_lag1,43
idx_IMOEX_rv_annualized_ma22,43
idx_MOEXMM_rv_annualized_vol22,42
yahoo_vix_ma22,42
yahoo_sp500_ma22,41
idx_MOEXCH_rv_annualized_vol22,40
yahoo_sp500_ret5,40
si_fut_lag1,40
idx_CNYRUB_TOM_rv_annualized_ret22,39
yahoo_tbill_3m_ret22,39
yahoo_eem_ma22,39
idx_IMOEX_rv_annualized_ret22,39
m2_ru_lag1,38
yahoo_eem_lag1,37
rv_MOEXCH,37
yahoo_treasury_5y_vol22,36
idx_RVI_rv_annualized_ret1,36
yahoo_tbill_3m_ret5,35
rv_RVI,34
yahoo_dxy_ma5,34
idx_MOEXMM_rv_annualized_ret22,34
yahoo_tbill_3m_ma22,33
idx_RGBI_rv_annualized_lag1,33
eem,33
idx_MOEXEU_rv_annualized_ret22,32
idx_CNYRUB_TOM_rv_annualized_ret5,32
idx_RVI_rv_annualized_vol22,32
idx_MOEXTL_rv_annualized_lag1,32
idx_MOEXEU_rv_annualized_vol22,29
yahoo_eem_ret22,29
idx_MOEXCN_rv_annualized_lag1,28
yahoo_vix_ma5,28
idx_MOEXOG_rv_annualized_ma5,27
yahoo_brent_ma22,27
idx_CNYRUB_TOM_rv_annualized_ret1,27
idx_MOEXTL_rv_annualized_ret5,26
idx_MOEXTL_rv_annualized_ma5,25
rv_MOEXOG,24
yahoo_dxy_lag1,24
yahoo_eem_vol22,24
idx_MOEXTL_rv_annualized_ma22,24
vix,24
yahoo_treasury_5y_ret1,24
yahoo_vix_vol22,23
idx_RVI_rv_annualized_ret5,23
yahoo_tbill_3m_ret1,23
idx_CNYRUB_TOM_rv_annualized_lag1,23
idx_MOEXMM_rv_annualized_lag1,22
idx_MOEXCH_rv_annualized_ma22,22
yahoo_gold_ret5,21
idx_MOEXFN_rv_annualized_vol22,20
rv_MOEXTL,20
yahoo_treasury_10y_lag1,19
idx_RVI_rv_annualized_lag1,19
sp500,19
idx_MOEXEU_rv_annualized_ma5,19
idx_MOEXOG_rv_annualized_ret1,19
yahoo_tbill_3m_ma5,19
yahoo_dxy_ma22,19
idx_MOEXCN_rv_annualized_ma22,19
yahoo_treasury_10y_ma22,18
yahoo_vix_ret5,18
idx_IMOEX_rv_annualized_vol22,18
gold,17
idx_MOEXOG_rv_annualized_ma22,16
close_MOEXFN,16
idx_MOEXCN_rv_annualized_vol22,15
idx_CNYRUB_TOM_rv_annualized_ma5,15
cpi_us_lag1,15
yahoo_wti_ret22,14
close_MOEXMM,14
rskew,14
yahoo_gold_vol22,14
yahoo_sp500_ma5,13
idx_CNYRUB_TOM_rv_annualized_vol22,12
idx_MOEXMM_rv_annualized_ma5,12
yahoo_treasury_5y_ret5,12
idx_MOEXMM_rv_annualized_ret1,12
bv_annualized,11
yahoo_sp500_ret22,11
yahoo_brent_ma5,11
si_fut_diff1,11
yahoo_vix_ret22,11
