year,horizon,HAR-J,XGBoost,LightGBM,V1_Adaptive
2017,1,0.2745061743457288,0.2618158028749368,0.32436275607958975,0.2561610133361862
2018,1,0.4176134624999551,0.34189437257935623,0.36101383918078883,0.3499745591264852
2019,1,0.3051889596626139,0.2765870679794831,0.28979907568122265,0.27785369305697866
2020,1,0.46404953474193733,0.35020839231074014,0.309079293500833,0.3534272622367964
2021,1,0.2955788793782226,0.2417569740376411,0.23233039689429894,0.23003737879349878
2022,1,1.3068849178467143,0.7505249421428885,0.6255816784764333,0.6798892959835218
2023,1,0.47775427559178957,0.42922235909612966,0.3810567274026282,0.38492279300822413
2024,1,0.43780248369780816,0.3372632857392348,0.31387863658461934,0.31229313111788926
2025,1,0.7373323985166415,0.6126890967928151,0.5684446814029694,0.5718058176204085
2026,1,0.5680267018659231,0.5183346907373083,0.4922424013131266,0.48667269703833016
2017,5,0.2948379169044094,0.3329214852593612,5.28722011862743,0.3183342675641093
2018,5,0.48196388982695154,0.4321199095483098,3.478608367303519,0.44263945934751364
2019,5,0.42427131866858764,0.39520639583432826,0.3815359578004441,0.3930551380258315
2020,5,0.5718032724299447,0.8972928878334897,0.5593951568487305,0.4977451913232099
2021,5,0.3286499849486805,0.3978910013018075,0.40813973398120057,0.3044977162456803
2022,5,3.263781795707911,4.455581426587083,2.7232107342809635,3.5741844323486003
2023,5,0.5125099374301717,0.46334178227145,0.5007183051347461,0.444839611199404
2024,5,0.5472141857779154,0.5217965768684404,0.5965818972616871,0.5098019734513796
2025,5,0.7372593010664935,0.7035210954594895,0.7259949799531774,0.6963470668553928
2026,5,0.49404974424098685,0.5322045179618392,0.7530588901282859,0.5280641842855581
2017,22,0.31812647846916886,0.3477583202893904,0.3643040529344124,0.33929805292367343
2018,22,0.4592596989539378,0.45351164585459486,0.4619601501233244,0.449224588732821
2019,22,0.46694389849915574,0.4688809463065296,0.4550950907226274,0.4483917831212405
2020,22,1.151861718402396,1.0056809176447232,0.9607044614558832,1.0073101827842479
2021,22,0.49237515228264306,0.5603325246247891,0.4760414586454385,0.44546496297477106
2022,22,3.8903842500020747,5.4816576551806735,3.2008888670168747,3.456183596117569
2023,22,0.5014641936372607,0.4604581272981049,0.6254642806641765,0.5196129660044712
2024,22,0.6426943487526097,0.624121748337959,0.6289121293477264,0.6013995681524462
2025,22,0.7244559577136546,0.7440655737297105,0.6585039318860765,0.7218350685424139
2026,22,0.6496531932636026,0.6680154388200543,0.7117125929213564,0.6501922020093729
