Model,QLIKE,MSE,MAE,R2,N
HAR-J,0.9290264312556442,3.3400209014516346e-05,0.00045533579800596975,-0.00015458092555453717,39488
XGBoost,1.0797544515308957,3.3458292949767116e-05,0.0004648913189635628,-0.0018938788411451135,39488
LightGBM,0.8443823813764386,3.3436029959669934e-05,0.0005455207535162642,-0.0012272233863508397,39488
Hybrid,0.8470402328698036,3.3385919665922165e-05,0.0004886932580551316,0.00027330733851904654,39488
