year,horizon,HAR-J,XGBoost,LightGBM,Fixed,SimpleAvg,BestSingle,Adaptive
2017,1,0.2745061743457289,0.2618158028749368,0.32436275607958975,0.2561610133361861,0.25321743963896776,0.2618158028749368,0.2561610133361861
2018,1,0.41761346249995523,0.34189437257935623,0.3610138391807888,0.3499745591264852,0.33271580573581705,0.34189437257935623,0.3499745591264852
2019,1,0.3051889596626139,0.2765870679794831,0.28979907568122265,0.2778536930567445,0.27585005737234497,0.2765870679794831,0.27785369305697866
2020,1,0.46404953474193733,0.35020839231074014,0.309079293500833,0.3534272622367964,0.3243014776110871,0.35020839231074014,0.3534272622367964
2021,1,0.2955788793782226,0.2417569740376411,0.23233039689429894,0.25040858347705836,0.23047989460209664,0.23233039689429894,0.23003737879349878
2022,1,1.3068849178467143,0.7505249421428883,0.6255816784764333,0.8540522125423475,0.7409158392914321,0.6255816784764333,0.6798892959835218
2023,1,0.4777542755917895,0.42922235909612966,0.3810567274026282,0.4245766958024463,0.39656400685513366,0.3810567274026282,0.38492279300822413
2024,1,0.43780248369780816,0.3372632857392348,0.31387863658461934,0.34749492285985945,0.3189873441891615,0.31387863658461934,0.31229313111788926
2025,1,0.7373323985166415,0.6126890967928151,0.5684446814029694,0.6194272082290045,0.5919168986764666,0.5684446814029694,0.5718058176204085
2017,5,0.2948379169044094,0.3329214852593612,5.28722011862743,5.065304574426156,4.1988826693002625,0.2948379169044094,0.3183342675641093
2018,5,0.48196388982695154,0.4321199095483098,3.478608367303519,2.6092600733183615,2.444611996521922,0.48196388982695154,0.44263945934751375
2019,5,0.42427131866858764,0.39520639583432826,0.38153595780044414,0.3758442637059563,0.3766118773505357,0.39520639583432826,0.39305513802583153
2020,5,0.5718032724299447,0.8972928878334896,0.5593951568487305,0.4977451913232099,0.5147151471249062,0.5593951568487305,0.4977451913232099
2021,5,0.3286499849486805,0.3978910013018075,0.4081397339812005,0.2982924953712588,0.3089012450812691,0.4081397339812005,0.3044977162456803
2022,5,3.2637817957079114,4.455581426587081,2.7232107342809635,2.886770461453761,3.1414442638259876,3.2637817957079114,3.5741844323486
2023,5,0.5125099374301717,0.46334178227145,0.5007183051347461,0.4448396111995206,0.43488079585516387,0.5007183051347461,0.4448396111994041
2024,5,0.5472141857779154,0.5217965768684404,0.596581897261687,0.45052662205856175,0.4512398399654466,0.5217965768684404,0.5098019734513796
2025,5,0.7372593010664935,0.7035210954594895,0.7259949799531775,0.6583493996470523,0.6495891370129669,0.7035210954594895,0.6963470668553926
2017,22,0.31812647846916886,0.3477583202893904,0.3643040529344124,0.3311835489396842,0.31383709358394374,0.31812647846916886,0.33929805292367343
2018,22,0.4592596989539378,0.4535116458545949,0.4619601501233244,0.4476573408892953,0.445689674830814,0.4592596989539378,0.449224588732821
2019,22,0.46694389849915574,0.46888094630652966,0.4550950907226274,0.4409646852992617,0.4453688260135956,0.46888094630652966,0.4483917831212405
2020,22,1.151861718402396,1.005680917644723,0.9607044614558832,1.0073101827842479,0.9678102038529199,0.9607044614558832,1.0073101827842479
2021,22,0.49237515228264306,0.5603325246247892,0.4760414586454385,0.4454649629749038,0.4625453798460918,0.4760414586454385,0.44546496297477106
2022,22,3.890384250002075,5.4816576551806735,3.2008888670168747,3.469982891627478,3.865529593303386,3.2008888670168747,3.4561835961175693
2023,22,0.5014641936372608,0.4604581272981049,0.6254642806641765,0.5196129660047624,0.48563538719866367,0.6254642806641765,0.5196129660044712
2024,22,0.6426943487526098,0.6241217483379591,0.6289121293477264,0.5310541006550675,0.49571129451110235,0.6241217483379591,0.6013995681524462
2025,22,0.7244559577136546,0.7440655737297105,0.6585039318860765,0.6696229907643898,0.677693197948354,0.7440655737297105,0.7218350685424139
