Model,QLIKE,MSE,MAE,R2,N
HAR-J,0.5232926427359186,3.251662138196756e-05,0.0003990667727146499,0.026289832172402217,39488
XGBoost,0.40305314485725285,3.2030057884481865e-05,0.00037872545955016686,0.04085997521494811,39488
LightGBM,0.381464949902014,3.1722927356589244e-05,0.00041791072021092233,0.05005699831111621,39488
Hybrid,0.4155790739304444,3.2208785108563096e-05,0.0003805304690693628,0.035507988816631864,39488
