ticker,HAR-J,LightGBM,V1_Adaptive,XGBoost
AFLT,0.9624283107511976,0.8386091846834294,0.8800640490109077,1.0942995534951372
ALRS,0.7426337769470016,0.7465737394528721,0.7228950925922102,0.8825779327266905
HYDR,0.6190225481939294,0.6009456397840975,0.5743881716875581,0.6343090697031551
IRAO,1.153017273542671,0.97286054419977,0.9973419450503919,1.3543630367435555
LKOH,1.1548018809056224,0.982504497682032,1.044791369761107,1.329183095881379
LSRG,0.97091956690736,0.8101449837893797,0.8783921749336117,1.0594849427817783
MGNT,0.8343889423813974,0.7519273820247773,0.7547692160032312,0.9435775480589862
MOEX,0.8042468499010154,0.7852061689872949,0.7507983963174432,0.868268220813059
MTLR,1.2065011758993334,0.9353178830216694,1.0802306954569738,1.615087060622661
MTSS,0.8257148816912485,0.7198667508413702,0.7403833725513518,0.8385904001894169
NVTK,0.9528863491697874,0.8789099691590666,0.8948072360342332,1.1864119812031868
OGKB,0.9076097238197625,0.6983489023778577,0.7715294064074824,0.9461478009404064
PHOR,0.8089630698781537,0.7939386172496237,0.7595519571112878,0.9438734538563144
RTKM,0.7289722221765376,0.6335309281627574,0.6827731063340701,0.7854800100972266
SBER,1.137108433912152,1.2865673059437306,1.1839963449161477,1.5318517314496782
TATN,0.8511771662634309,0.7838588595603184,0.7826817801225034,0.9611245146780281
VTBR,1.1235395941251791,1.1306210462524526,1.1288703887233162,1.3667050708712438
