year,HAR-J,XGBoost,LightGBM,V1_Adaptive
2017,0.2745061743457288,0.2618158028749368,0.32436275607958975,0.2561610133361862
2018,0.4176134624999551,0.34189437257935623,0.36101383918078883,0.3499745591264852
2019,0.3051889596626139,0.2765870679794831,0.28979907568122265,0.27785369305697866
2020,0.46404953474193733,0.35020839231074014,0.309079293500833,0.3534272622367964
2021,0.2955788793782226,0.2417569740376411,0.23233039689429894,0.23003737879349878
2022,1.3068849178467143,0.7505249421428885,0.6255816784764333,0.6798892959835218
2023,0.47775427559178957,0.42922235909612966,0.3810567274026282,0.38492279300822413
2024,0.43780248369780816,0.3372632857392348,0.31387863658461934,0.31229313111788926
2025,0.7373323985166415,0.6126890967928151,0.5684446814029694,0.5718058176204085
2026,0.5680267018659231,0.5183346907373083,0.4922424013131266,0.48667269703833016
Average,0.5284737788147335,0.4120296984290534,0.389778948651651,0.3903037641318319
