year,horizon,strategy,w_har,w_xgb,w_lgb,method,qlike,regime,regime_ratio,shrinkage
2017,1,V4_Shrinkage,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.25321743963896776,,,0.3
2018,1,V4_Shrinkage,0.366,0.42200000000000004,0.212,,0.33541613749983257,,,0.3
2019,1,V4_Shrinkage,0.09999999999999999,0.59,0.31,,0.27561313598651543,,,0.3
2020,1,V4_Shrinkage,0.24000000000000002,0.548,0.212,,0.3297318641610328,,,0.3
2021,1,V4_Shrinkage,0.09999999999999999,0.282,0.618,,0.22615168513624212,,,0.3
2022,1,V4_Shrinkage,0.14200000000000002,0.38,0.47800000000000004,,0.6860472893123924,,,0.3
2023,1,V4_Shrinkage,0.1,0.1,0.8,,0.38143103014615043,,,0.3
2024,1,V4_Shrinkage,0.14200000000000002,0.1,0.758,,0.30877999653865235,,,0.3
2025,1,V4_Shrinkage,0.09999999999999999,0.408,0.492,,0.5814082658062322,,,0.3
2017,5,V4_Shrinkage,0.3333333333333333,0.3333333333333333,0.3333333333333333,,4.1988826693002625,,,0.3
2018,5,V4_Shrinkage,0.5200000000000001,0.38,0.1,,1.4437182617756152,,,0.3
2019,5,V4_Shrinkage,0.12800000000000003,0.772,0.1,,0.3873053871220162,,,0.3
2020,5,V4_Shrinkage,0.37999999999999995,0.09999999999999999,0.52,,0.4973627903382983,,,0.3
2021,5,V4_Shrinkage,0.52,0.09999999999999999,0.37999999999999995,,0.300825083541477,,,0.3
2022,5,V4_Shrinkage,0.52,0.198,0.282,,3.075565800670119,,,0.3
2023,5,V4_Shrinkage,0.1,0.1,0.8,,0.47408665177253373,,,0.3
2024,5,V4_Shrinkage,0.352,0.352,0.296,,0.448267807247753,,,0.3
2025,5,V4_Shrinkage,0.52,0.198,0.282,,0.6526843602752833,,,0.3
2017,22,V4_Shrinkage,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.31383709358394374,,,0.3
2018,22,V4_Shrinkage,0.52,0.11399999999999999,0.36599999999999994,,0.4463141669633119,,,0.3
2019,22,V4_Shrinkage,0.39399999999999996,0.32399999999999995,0.282,,0.4442752343889262,,,0.3
2020,22,V4_Shrinkage,0.464,0.1,0.436,,0.9930855520668417,,,0.3
2021,22,V4_Shrinkage,0.1,0.464,0.436,,0.47718218114862654,,,0.3
2022,22,V4_Shrinkage,0.506,0.09999999999999999,0.39399999999999996,,3.581434203073564,,,0.3
2023,22,V4_Shrinkage,0.1,0.1,0.8,,0.5811973694964966,,,0.3
2024,22,V4_Shrinkage,0.324,0.548,0.12800000000000003,,0.5043335489012492,,,0.3
2025,22,V4_Shrinkage,0.09999999999999999,0.618,0.282,,0.6900294918528289,,,0.3
2017,1,V5_Combined,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.25321743963896776,NORMAL,1.0,
2018,1,V5_Combined,0.366,0.42200000000000004,0.212,,0.33541613749983257,NORMAL,1.0,
2019,1,V5_Combined,0.23299999999999998,0.506,0.26099999999999995,,0.2750139317348498,NORMAL,0.9858759579336923,
2020,1,V5_Combined,0.149,0.5846333333333333,0.26636666666666664,,0.32286950196164727,LOW_VOL,0.6542858291350755,
2021,1,V5_Combined,0.20500000000000002,0.39749999999999996,0.39749999999999996,,0.22755881195090744,HIGH_VOL,1.671207359666882,
2022,1,V5_Combined,0.12100000000000001,0.331,0.548,,0.6747218628110786,NORMAL,0.8475809663674955,
2023,1,V5_Combined,0.1315,0.23783505154639173,0.6306649484536082,,0.384098424060758,HIGH_VOL,3.3485449128427724,
2024,1,V5_Combined,0.135,0.1,0.765,,0.3087676382268257,LOW_VOL,0.5288781548915201,
2025,1,V5_Combined,0.135,0.25082474226804125,0.6141752577319588,,0.576884585122117,LOW_VOL,0.6980960689738981,
2017,5,V5_Combined,0.3333333333333333,0.3333333333333333,0.3333333333333333,,4.1988826693002625,NORMAL,1.0,
2018,5,V5_Combined,0.5200000000000001,0.38,0.1,,1.4437182617756152,NORMAL,1.0,
2019,5,V5_Combined,0.324,0.5760000000000001,0.1,,0.3820520123432046,NORMAL,0.986796242384351,
2020,5,V5_Combined,0.20780000000000004,0.4644307692307692,0.32776923076923076,,0.5350219959212349,LOW_VOL,0.6831411895997471,
2021,5,V5_Combined,0.52,0.09999999999999999,0.37999999999999995,,0.300825083541477,HIGH_VOL,1.6480689537476785,
2022,5,V5_Combined,0.52,0.149,0.33099999999999996,,3.0127599228367767,NORMAL,0.8526713444410551,
2023,5,V5_Combined,0.415,0.13850000000000004,0.44650000000000006,,0.43870523480659196,HIGH_VOL,3.343161197087183,
2024,5,V5_Combined,0.18820000000000003,0.23429756097560978,0.5775024390243902,,0.4926683858327067,LOW_VOL,0.5299508369600403,
2025,5,V5_Combined,0.43600000000000005,0.275,0.28900000000000003,,0.6506996053356877,NORMAL,0.7058706585871444,
2017,22,V5_Combined,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.31383709358394374,NORMAL,1.0,
2018,22,V5_Combined,0.52,0.11399999999999999,0.36599999999999994,,0.4463141669633119,NORMAL,1.0,
2019,22,V5_Combined,0.457,0.219,0.324,,0.4422877296222293,NORMAL,0.9829890151827068,
2020,22,V5_Combined,0.429,0.212,0.35900000000000004,,0.9838642432109368,NORMAL,0.7359142763561091,
2021,22,V5_Combined,0.373,0.25002702702702706,0.376972972972973,,0.45693192206752015,HIGH_VOL,1.6293305577685826,
2022,22,V5_Combined,0.30300000000000005,0.28200000000000003,0.415,,3.7452326768731528,NORMAL,0.990547109381431,
2023,22,V5_Combined,0.4044999999999999,0.09999999999999999,0.4955,,0.5112046890355851,HIGH_VOL,3.2382182713226295,
2024,22,V5_Combined,0.1784,0.3368,0.4848,,0.511852928312763,LOW_VOL,0.5275596940652528,
2025,22,V5_Combined,0.212,0.5830000000000001,0.20500000000000002,,0.6953717095114387,NORMAL,0.7341430737397807,
