year,HAR-J,XGBoost,LightGBM,V1_Adaptive
2017,0.31812647846916886,0.3477583202893904,0.3643040529344124,0.33929805292367343
2018,0.4592596989539378,0.45351164585459486,0.4619601501233244,0.449224588732821
2019,0.46694389849915574,0.4688809463065296,0.4550950907226274,0.4483917831212405
2020,1.151861718402396,1.0056809176447232,0.9607044614558832,1.0073101827842479
2021,0.49237515228264306,0.5603325246247891,0.4760414586454385,0.44546496297477106
2022,3.8903842500020747,5.4816576551806735,3.2008888670168747,3.456183596117569
2023,0.5014641936372607,0.4604581272981049,0.6254642806641765,0.5196129660044712
2024,0.6426943487526097,0.624121748337959,0.6289121293477264,0.6013995681524462
2025,0.7244559577136546,0.7440655737297105,0.6585039318860765,0.7218350685424139
2026,0.6496531932636026,0.6680154388200543,0.7117125929213564,0.6501922020093729
Average,0.9297218889976504,1.081448289808653,0.8543587015717895,0.8638912971363026
