ticker,HAR-J,LightGBM,V1_Adaptive,XGBoost
AFLT,0.5165284300731847,0.3746182531586937,0.39277739932685446,0.4120832658347889
ALRS,0.423845955582406,0.32428356299970934,0.32418792188925755,0.33543862518580636
HYDR,0.39605262450822926,0.3179643511205602,0.308793354494921,0.32107990323257296
IRAO,0.4977826943797236,0.3700361981796203,0.3724207876821496,0.3825382659779259
LKOH,0.6415933081013167,0.44075660735682737,0.4372461962905038,0.45895662810597637
LSRG,0.5801170163278104,0.45183366894716775,0.4476398674849133,0.4997643538503581
MGNT,0.4272200807843309,0.3392277749978284,0.33425682296666615,0.3564731862014637
MOEX,0.5476637566143883,0.3923218152686533,0.38220225364454385,0.4009369182733723
MTLR,0.6584005815747533,0.3894422378357125,0.43445939785847876,0.46129339541155073
MTSS,0.56817145308217,0.42081113864839464,0.4185088586201624,0.4437669246616901
NVTK,0.42808203664510047,0.2935813434282298,0.2930530688650289,0.30646640646893414
OGKB,0.5958159324328409,0.42761476271761745,0.4455094113526313,0.4957602999711355
PHOR,0.4239188062921633,0.3294472114467643,0.3135027648985909,0.33050166882764626
RTKM,0.5287812334685752,0.408090588092913,0.4002134061981475,0.4267186636465487
SBER,0.5370281268919257,0.42624898867151867,0.41213089079392606,0.4033070920043042
TATN,0.47048783131304606,0.32738873289010256,0.3289657430261335,0.34214866943666444
VTBR,0.6634508599097692,0.47246130990366614,0.47250015771733184,0.4969749770821375
