Model,H,Annual,Quarterly,Diff%
HAR-J,1,0.5232926427359186,0.5256232393437303,0.4453715602854189
HAR-J,5,0.7733592457612855,0.7764050743408677,0.39384394720515264
HAR-J,22,0.9290264312556442,0.9313069643718994,0.24547559030940608
XGBoost,1,0.40305314485725285,0.39781801336514294,-1.29886878663706
XGBoost,5,0.9186293711234607,0.9206736097378235,0.2225313797514244
XGBoost,22,1.0797544515308957,1.0627109592502753,-1.5784600152799402
LightGBM,1,0.381464949902014,0.3710019911372064,-2.7428362074930406
LightGBM,5,1.5936501440804038,1.1700157888882126,-26.582644676799138
LightGBM,22,0.8443823813764386,0.8271596254012302,-2.039686800088528
Hybrid,1,0.4155790739304444,0.3832904559124009,-7.769548575356722
Hybrid,5,1.3688895968079302,1.0769730543676492,-21.325061065625146
Hybrid,22,0.8470402328698036,0.8603002113243211,1.5654484804803481
