Model,H=1,H=5,H=22
HAR-J,0.5232926427359186,0.7733592457612855,0.9290264312556442
XGBoost,0.40305314485725285,0.9186293711234607,1.0797544515308957
LightGBM,0.381464949902014,1.5936501440804038,0.8443823813764386
SimpleAvg,0.38763074086031596,1.3547316196344146,0.8748676896856358
BestSingle,0.3769586435814865,0.7689130748147631,0.8517005748278508
V1_Adaptive,0.3822527851754837,0.7717299412907201,0.8609111656730193
V6_Trimmed,0.400253289185386,0.7433504054323302,0.9287741135372672
V6_TrimmedW,0.3899581104058167,0.7239168770850231,0.8946420430385094
V7_Rolling,0.3823633027866648,0.9115292363282469,0.8316357046727891
V2_MultiVal,0.3742947967105254,1.1304197582434994,0.8636475369970573
V7_W20,0.3828903335122893,0.9115292363282469,0.8316357046727891
V7_W40,0.3823633027866648,0.9483795225321339,0.8418560044254951
V7_W60,0.38266707781033876,0.9747892514936274,0.8440787606471664
V7_W90,0.3824719656708333,1.012034616403034,0.8467156616026946
V7_W120,0.38265587660469574,1.0460850399439063,0.8496791598779112
