ticker,HAR-J,LightGBM,V1_Adaptive,XGBoost
AFLT,0.7167722104853971,1.496373441415753,0.7223756332331073,0.9232767145779824
ALRS,0.6030193935774316,1.4693830436324409,0.6044337415781807,0.7212920841696737
HYDR,0.5204442359650758,1.439905575595085,0.5094005650941035,0.5659619090724001
IRAO,0.9109659196011782,1.800479749451439,0.9658425913713201,1.1898133070997226
LKOH,0.9856224951304383,1.8643775215453973,1.0077670611629983,1.172683169581631
LSRG,0.8354484979814611,1.5447376252341884,0.816233665982829,0.9539584675472821
MGNT,0.6963133618477947,1.5172848651475923,0.6994583140417159,0.792623858684084
MOEX,0.6967601257722673,1.5890680243567445,0.6976359350132858,0.7651633181937317
MTLR,1.0023499431470713,1.418642632294015,0.8636170565059432,1.2724025693145677
MTSS,0.7468465739043731,1.6037158402411986,0.7313962208040726,0.7686686211424438
NVTK,0.7422545354915099,1.5634632315053376,0.7677840148303737,0.9297435134137227
OGKB,0.8012756412364986,1.454162572560182,0.7715634157497875,0.884895960206715
PHOR,0.6131224474224266,1.4706974522489744,0.6456952779827702,0.7429581906622663
RTKM,0.6619631148089204,1.5739635076203606,0.6550862412209161,0.7013377977216891
SBER,0.8950664461753892,1.8139989740316969,0.9541601966912703,1.1936620515944616
TATN,0.675708348695218,1.5501171312977022,0.6887979446407118,0.8392153756232454
VTBR,0.9994068568461305,1.787365044858625,0.9799045323870335,1.1381107993044224
