sharpe,ann_ret_pct,max_dd_pct,exposure_pct,n_trades,year,approach,strategy,timeframe,ticker,sigma_variant
2.2036,61.83,-13.55,36.8,5,2020,A,S3_Donchian,daily,LSRG,daily
1.3537,16.81,-7.23,34.51,6,2021,A,S3_Donchian,daily,LSRG,daily
-0.8836,-17.84,-17.91,11.64,4,2022,A,S3_Donchian,daily,LSRG,daily
-0.251,-3.9,-12.07,27.95,4,2023,A,S3_Donchian,daily,LSRG,daily
0.5411,12.59,-25.15,40.23,10,2024,A,S3_Donchian,daily,LSRG,daily
-0.4801,-3.84,-10.24,6.45,5,2025,A,S3_Donchian,daily,LSRG,daily
-0.3539,-5.81,-13.75,3.02,4,2022,B,S3_Donchian,daily,LSRG,daily
-0.4701,-6.53,-11.27,12.6,6,2023,B,S3_Donchian,daily,LSRG,daily
1.3615,23.96,-14.08,17.19,14,2024,B,S3_Donchian,daily,LSRG,daily
-0.318,-2.01,-6.56,4.19,5,2025,B,S3_Donchian,daily,LSRG,daily
0.0447,0.74,-12.27,4.74,5,2022,C,S3_Donchian,daily,LSRG,daily
-0.0013,-0.02,-15.63,9.06,9,2023,C,S3_Donchian,daily,LSRG,daily
0.7836,15.92,-15.08,21.09,20,2024,C,S3_Donchian,daily,LSRG,daily
0.1141,0.57,-5.41,1.94,3,2025,C,S3_Donchian,daily,LSRG,daily
-0.7427,-16.13,-19.15,11.64,4,2022,D,S3_Donchian,daily,LSRG,daily
-0.2102,-3.24,-11.41,27.95,4,2023,D,S3_Donchian,daily,LSRG,daily
0.852,13.14,-13.67,40.23,10,2024,D,S3_Donchian,daily,LSRG,daily
-0.4387,-5.0,-14.14,6.45,5,2025,D,S3_Donchian,daily,LSRG,daily
-0.0822,-1.19,-12.27,2.16,3,2022,E,S3_Donchian,daily,LSRG,daily
0.3938,4.29,-6.74,4.33,4,2023,E,S3_Donchian,daily,LSRG,daily
1.5762,25.93,-11.24,10.16,14,2024,E,S3_Donchian,daily,LSRG,daily
0.0203,0.1,-5.48,1.61,3,2025,E,S3_Donchian,daily,LSRG,daily
0.7816,11.8,-7.9,4.74,5,2022,F,S3_Donchian,daily,LSRG,daily
0.051,0.64,-14.96,9.06,9,2023,F,S3_Donchian,daily,LSRG,daily
1.1185,13.39,-7.79,21.09,20,2024,F,S3_Donchian,daily,LSRG,daily
0.1451,0.78,-5.87,1.94,3,2025,F,S3_Donchian,daily,LSRG,daily
0.6325,8.02,-7.9,2.16,3,2022,G,S3_Donchian,daily,LSRG,daily
0.4629,4.96,-6.07,4.33,4,2023,G,S3_Donchian,daily,LSRG,daily
1.7072,16.68,-6.07,10.16,14,2024,G,S3_Donchian,daily,LSRG,daily
0.0444,0.24,-5.96,1.61,3,2025,G,S3_Donchian,daily,LSRG,daily
1.2364,18.22,-9.07,8.4,4,2020,A,S4_Supertrend,daily,LSRG,daily
0.2679,2.42,-11.08,34.51,5,2021,A,S4_Supertrend,daily,LSRG,daily
0.6101,6.15,-3.18,9.05,4,2022,A,S4_Supertrend,daily,LSRG,daily
-0.6285,-2.85,-4.08,3.15,5,2023,A,S4_Supertrend,daily,LSRG,daily
0.2922,4.88,-17.49,31.64,6,2024,A,S4_Supertrend,daily,LSRG,daily
-0.66,-4.08,-8.59,10.65,3,2025,A,S4_Supertrend,daily,LSRG,daily
0.8488,7.97,-2.27,1.72,4,2022,B,S4_Supertrend,daily,LSRG,daily
-0.4454,-1.72,-2.94,1.97,5,2023,B,S4_Supertrend,daily,LSRG,daily
0.9816,10.62,-9.04,14.06,7,2024,B,S4_Supertrend,daily,LSRG,daily
-0.2533,-1.3,-4.81,2.26,3,2025,B,S4_Supertrend,daily,LSRG,daily
0.8488,7.97,-2.27,1.72,4,2022,C,S4_Supertrend,daily,LSRG,daily
0.7605,2.13,-1.24,1.18,3,2023,C,S4_Supertrend,daily,LSRG,daily
0.4452,4.49,-13.95,9.38,15,2024,C,S4_Supertrend,daily,LSRG,daily
-0.5511,-2.2,-5.92,2.26,5,2025,C,S4_Supertrend,daily,LSRG,daily
0.7326,10.77,-3.47,9.05,4,2022,D,S4_Supertrend,daily,LSRG,daily
-0.5232,-2.88,-5.07,3.15,5,2023,D,S4_Supertrend,daily,LSRG,daily
0.7381,15.69,-19.24,31.64,6,2024,D,S4_Supertrend,daily,LSRG,daily
-0.7043,-9.97,-19.54,10.65,3,2025,D,S4_Supertrend,daily,LSRG,daily
0.8488,7.97,-2.27,1.72,4,2022,E,S4_Supertrend,daily,LSRG,daily
0.7605,2.13,-1.24,1.18,3,2023,E,S4_Supertrend,daily,LSRG,daily
0.5822,5.29,-10.55,7.03,11,2024,E,S4_Supertrend,daily,LSRG,daily
-0.2247,-0.84,-4.25,1.29,3,2025,E,S4_Supertrend,daily,LSRG,daily
0.9903,13.5,-1.81,1.72,4,2022,F,S4_Supertrend,daily,LSRG,daily
0.712,2.56,-1.64,1.18,3,2023,F,S4_Supertrend,daily,LSRG,daily
0.8595,9.7,-13.7,9.38,15,2024,F,S4_Supertrend,daily,LSRG,daily
-0.6725,-5.4,-12.8,2.26,5,2025,F,S4_Supertrend,daily,LSRG,daily
0.9903,13.5,-1.81,1.72,4,2022,G,S4_Supertrend,daily,LSRG,daily
0.712,2.56,-1.64,1.18,3,2023,G,S4_Supertrend,daily,LSRG,daily
0.9473,9.76,-10.09,7.03,11,2024,G,S4_Supertrend,daily,LSRG,daily
-0.2481,-1.8,-8.37,1.29,3,2025,G,S4_Supertrend,daily,LSRG,daily
-1.6207,-2.04,-2.03,1.2,1,2020,A,S5_PivotPoints,daily,LSRG,daily
-1.3338,-6.57,-6.88,8.63,9,2021,A,S5_PivotPoints,daily,LSRG,daily
-1.7209,-3.05,-2.81,2.16,2,2022,A,S5_PivotPoints,daily,LSRG,daily
0.7314,4.14,-1.82,3.54,4,2023,A,S5_PivotPoints,daily,LSRG,daily
-0.3523,-0.92,-2.34,1.17,1,2024,A,S5_PivotPoints,daily,LSRG,daily
-1.2413,-10.05,-13.24,8.39,9,2025,A,S5_PivotPoints,daily,LSRG,daily
0.2788,1.26,-2.3,2.59,2,2022,B,S5_PivotPoints,daily,LSRG,daily
0.7314,4.14,-1.82,3.54,4,2023,B,S5_PivotPoints,daily,LSRG,daily
-0.3523,-0.92,-2.34,1.17,1,2024,B,S5_PivotPoints,daily,LSRG,daily
-0.8986,-4.63,-7.94,8.06,9,2025,B,S5_PivotPoints,daily,LSRG,daily
0.0,0.0,0.0,0.0,0,2022,C,S5_PivotPoints,daily,LSRG,daily
0.9494,5.15,-0.85,2.36,3,2023,C,S5_PivotPoints,daily,LSRG,daily
0.0,0.0,0.0,0.0,0,2024,C,S5_PivotPoints,daily,LSRG,daily
