feature,importance
idx_MOEXCN_rv_annualized_ma5,0.0
idx_MOEXCN_rv_annualized_ma22,0.0
idx_MOEXCN_rv_annualized_vol22,0.0
rv_RGBI,0.0
close_RGBI,0.0
idx_RGBI_rv_annualized_lag1,0.0
idx_RGBI_rv_annualized_ret1,0.0
idx_RGBI_rv_annualized_ret22,0.0
idx_CNYRUB_TOM_rv_annualized_ma22,0.0
idx_RGBI_rv_annualized_ma5,0.0
idx_RGBI_rv_annualized_ma22,0.0
idx_RGBI_rv_annualized_vol22,0.0
rv_MOEXOG,0.0
close_MOEXOG,0.0
idx_MOEXOG_rv_annualized_lag1,0.0
idx_MOEXOG_rv_annualized_ret1,0.0
idx_MOEXOG_rv_annualized_ret22,0.0
idx_MOEXOG_rv_annualized_ma5,0.0
idx_MOEXOG_rv_annualized_ma22,0.0
idx_MOEXOG_rv_annualized_vol22,0.0
idx_MOEXFN_rv_annualized_vol22,0.0
idx_MOEXFN_rv_annualized_ma22,0.0
idx_MOEXFN_rv_annualized_ret22,0.0
idx_MOEXFN_rv_annualized_ret5,0.0
idx_CNYRUB_TOM_rv_annualized_vol22,0.0
rv_RVI,0.0
close_RVI,0.0
idx_RVI_rv_annualized_lag1,0.0
idx_RVI_rv_annualized_ret1,0.0
idx_RVI_rv_annualized_ret5,0.0
idx_RVI_rv_annualized_ret22,0.0
idx_RVI_rv_annualized_ma5,0.0
idx_RVI_rv_annualized_ma22,0.0
idx_RVI_rv_annualized_vol22,0.0
rv_MOEXCH,0.0
close_MOEXCH,0.0
idx_MOEXCH_rv_annualized_lag1,0.0
idx_MOEXCH_rv_annualized_ret1,0.0
idx_MOEXCH_rv_annualized_ret5,0.0
idx_MOEXCH_rv_annualized_ret22,0.0
idx_MOEXCH_rv_annualized_ma5,0.0
idx_MOEXCH_rv_annualized_ma22,0.0
idx_MOEXCH_rv_annualized_vol22,0.0
rv_MOEXFN,0.0
close_MOEXFN,0.0
idx_MOEXFN_rv_annualized_lag1,0.0
idx_MOEXFN_rv_annualized_ret1,0.0
si_fut_diff22,0.0
