strategy,timeframe,approach,ticker,sharpe_median
S2_Bollinger,hourly,E,MOEX,0.215
S2_Bollinger,hourly,F,LKOH,0.0
S2_Bollinger,hourly,F,VTBR,0.0
S2_Bollinger,hourly,F,TATN,0.1426
S2_Bollinger,hourly,F,MOEX,0.215
S2_Bollinger,hourly,F,LSRG,0.3242
S2_Bollinger,hourly,G,LKOH,0.0
S2_Bollinger,hourly,G,VTBR,0.0
S2_Bollinger,hourly,G,NVTK,0.129
S2_Bollinger,hourly,G,TATN,0.1982
S2_Bollinger,hourly,G,MOEX,0.215
S3_Donchian,daily,A,IRAO,-0.5732
S3_Donchian,daily,A,TATN,-0.5007
S3_Donchian,daily,A,HYDR,-0.3891
S3_Donchian,daily,A,LSRG,-0.3656
S3_Donchian,daily,A,MGNT,-0.3138
S3_Donchian,daily,B,TATN,-0.8952
S3_Donchian,daily,B,IRAO,-0.4987
S3_Donchian,daily,B,PHOR,-0.4585
S3_Donchian,daily,B,HYDR,-0.4336
S3_Donchian,daily,B,LSRG,-0.3359
S3_Donchian,daily,C,LSRG,0.0794
S3_Donchian,daily,C,IRAO,0.0922
S3_Donchian,daily,C,PHOR,0.1364
S3_Donchian,daily,C,OGKB,0.3745
S3_Donchian,daily,C,TATN,0.3905
S3_Donchian,daily,D,IRAO,-0.5732
S3_Donchian,daily,D,TATN,-0.3825
S3_Donchian,daily,D,HYDR,-0.3311
S3_Donchian,daily,D,LSRG,-0.3245
S3_Donchian,daily,D,MGNT,-0.3138
S3_Donchian,daily,E,OGKB,-0.8209
S3_Donchian,daily,E,TATN,-0.3745
S3_Donchian,daily,E,MOEX,-0.1478
S3_Donchian,daily,E,IRAO,-0.1111
S3_Donchian,daily,E,MTSS,-0.0915
S3_Donchian,daily,F,PHOR,0.3019
S3_Donchian,daily,F,NVTK,0.4204
S3_Donchian,daily,F,TATN,0.4256
S3_Donchian,daily,F,LSRG,0.4633
S3_Donchian,daily,F,IRAO,0.6037
S3_Donchian,daily,G,OGKB,-0.771
S3_Donchian,daily,G,TATN,-0.3745
S3_Donchian,daily,G,MOEX,-0.1337
S3_Donchian,daily,G,IRAO,0.0261
S3_Donchian,daily,G,AFLT,0.1235
S3_Donchian,hourly,A,PHOR,-0.7963
S3_Donchian,hourly,A,IRAO,-0.48
S3_Donchian,hourly,A,OGKB,-0.2878
S3_Donchian,hourly,A,ALRS,-0.0565
S3_Donchian,hourly,A,LSRG,-0.0275
S3_Donchian,hourly,B,ALRS,-0.3755
S3_Donchian,hourly,B,NVTK,-0.3384
S3_Donchian,hourly,B,PHOR,-0.2803
S3_Donchian,hourly,B,HYDR,-0.1248
S3_Donchian,hourly,B,AFLT,-0.0312
S3_Donchian,hourly,C,OGKB,-0.0662
S3_Donchian,hourly,C,PHOR,0.1896
S3_Donchian,hourly,C,IRAO,0.1998
S3_Donchian,hourly,C,ALRS,0.3173
S3_Donchian,hourly,C,NVTK,0.3612
S3_Donchian,hourly,D,PHOR,-0.7963
S3_Donchian,hourly,D,IRAO,-0.48
S3_Donchian,hourly,D,OGKB,-0.0778
S3_Donchian,hourly,D,ALRS,-0.0565
S3_Donchian,hourly,D,LSRG,-0.0275
S3_Donchian,hourly,E,PHOR,-0.1831
S3_Donchian,hourly,E,ALRS,-0.0469
S3_Donchian,hourly,E,OGKB,-0.0173
S3_Donchian,hourly,E,NVTK,0.0073
S3_Donchian,hourly,E,HYDR,0.159
S3_Donchian,hourly,F,OGKB,-0.0626
S3_Donchian,hourly,F,PHOR,0.1896
S3_Donchian,hourly,F,IRAO,0.1998
S3_Donchian,hourly,F,ALRS,0.3173
S3_Donchian,hourly,F,NVTK,0.389
S3_Donchian,hourly,G,PHOR,-0.1831
S3_Donchian,hourly,G,ALRS,-0.0469
S3_Donchian,hourly,G,OGKB,-0.0023
S3_Donchian,hourly,G,NVTK,0.0299
S3_Donchian,hourly,G,HYDR,0.159
S4_Supertrend,daily,A,MOEX,-0.6634
S4_Supertrend,daily,A,LSRG,-0.1681
S4_Supertrend,daily,A,HYDR,-0.1117
S4_Supertrend,daily,A,PHOR,0.0428
S4_Supertrend,daily,A,IRAO,0.2045
S4_Supertrend,daily,B,IRAO,-0.2732
S4_Supertrend,daily,B,HYDR,-0.1012
S4_Supertrend,daily,B,MTLR,-0.092
S4_Supertrend,daily,B,PHOR,-0.0312
S4_Supertrend,daily,B,OGKB,0.1291
S4_Supertrend,daily,C,IRAO,0.3031
S4_Supertrend,daily,C,PHOR,0.4824
S4_Supertrend,daily,C,OGKB,0.512
S4_Supertrend,daily,C,TATN,0.5949
S4_Supertrend,daily,C,MOEX,0.6
S4_Supertrend,daily,D,MOEX,-0.5015
