Стратегия,Категория,Gross daily,Gross hourly
S1 Mean Reversion,Контртренд,0.608,0.396
S2 Bollinger Bands,Контртренд,0.535,0.682
S3 Donchian Channel,Тренд,0.836,1.055
S4 Supertrend,Тренд,0.648,0.694
S5 Pivot Points,Диапазон,0.401,0.613
S6 VWAP,Диапазон,0.757,0.191
Контртренд,Контртренд,0.572,0.539
Тренд,Тренд,0.742,0.874
Диапазон,Диапазон,0.579,0.402
Среднее,,0.631,0.605
