Стратегия,Категория,Gross daily,Gross hourly
S1 Mean Reversion,Контртренд,0.743,0.401
S2 Bollinger Bands,Контртренд,0.584,0.742
S3 Donchian Channel,Тренд,0.916,0.814
S4 Supertrend,Тренд,0.769,0.825
S5 Pivot Points,Диапазон,0.313,0.568
S6 VWAP,Диапазон,0.808,0.187
Контртренд,Контртренд,0.663,0.572
Тренд,Тренд,0.843,0.819
Диапазон,Диапазон,0.56,0.377
Среднее,,0.689,0.59
