Стратегия,Категория,Gross daily,Gross hourly
S1 Mean Reversion,Контртренд,0.783,0.243
S2 Bollinger Bands,Контртренд,0.709,0.679
S3 Donchian Channel,Тренд,0.967,0.736
S4 Supertrend,Тренд,0.829,0.906
S5 Pivot Points,Диапазон,0.364,0.645
S6 VWAP,Диапазон,0.78,0.352
Контртренд,Контртренд,0.746,0.461
Тренд,Тренд,0.898,0.821
Диапазон,Диапазон,0.572,0.498
Среднее,,0.739,0.594
