feature,importance
idx_MOEXOG_rv_annualized_ma5,364
treasury_10y,364
si_fut_lag1,363
eem,360
m2_ru,359
yahoo_treasury_5y_lag1,345
idx_MOEXMM_rv_annualized_ma22,333
treasury_5y,326
close_RGBI,325
idx_RGBI_rv_annualized_ma22,319
yahoo_treasury_5y_ma5,312
yahoo_brent_lag1,301
yahoo_sp500_ma5,297
si_fut,277
tbill_3m,274
sp500,273
brent,243
cpi_ru_diff22,233
yahoo_tbill_3m_ma5,223
yahoo_tbill_3m_lag1,187
yahoo_brent_ma5,180
unemp_us_diff22,175
pmi_ru,156
fed_rate_diff22,148
bv_annualized,78
key_rate_cbr_lag1,77
fed_rate_lag1,74
jump_annualized,68
pmi_ru_lag1,67
rv_annualized,41
key_rate_cbr,33
cpi_us_lag1,32
fed_rate_diff1,30
fed_rate,26
cpi_ru,14
cpi_us,10
cpi_ru_lag1,4
m2_ru_diff1,3
unemp_us_lag1,3
unemp_us,3
pmi_ru_diff1,0
key_rate_cbr_diff1,0
unemp_us_diff1,0
cpi_us_diff1,0
cpi_ru_diff1,0
