strategy,tf,approach,gross_sharpe,gross_ann_ret_pct,gross_max_dd_pct,trades_per_year,net_min_sharpe,net_min_ann_ret_pct,net_min_max_dd_pct,net_max_sharpe,net_max_ann_ret_pct,net_max_max_dd_pct
S1_MeanRev,daily,A,0.5784010444455003,6.181110332793066,-7.397522205882353,6.965547066062731,0.043096204285312203,1.1382682881834605,-9.64482675,-0.08810459496235618,-0.1224422229689398,-10.338019602941177
S1_MeanRev,daily,B,0.6922585520827258,5.672307988736197,-5.026258147058824,6.864624136805197,0.008145828633047053,0.7903490574384998,-7.3815675294117655,-0.15648145517156253,-0.4301406753859242,-8.100274323529412
S1_MeanRev,daily,C,0.8813913473510513,6.1352360271402,-4.247865337606838,9.506048127841996,-0.15256896296891195,-0.2604944085996159,-6.8644792617521375,-0.4057501133116505,-1.8594270175345706,-7.81681570405983
S1_MeanRev,daily,D,0.6269785038979008,10.943144187331965,-11.117909852941176,6.965547066062731,0.0750002887592547,2.456987817497914,-14.99933668529412,-0.0605017931219944,0.3354487250394005,-16.176488676470587
S1_MeanRev,hourly,A,0.2985644620311246,1.9022393676470588,-4.969820352941176,27.58823529411765,-2.2284579739389248,-16.26379004411765,-18.040525823529414,-2.7837770570709246,-21.454084161764705,-22.715758823529406
S1_MeanRev,hourly,B,0.6371338670007258,2.955052823529412,-3.3908807205882345,27.823529411764707,-2.5526736096323233,-15.485829529411765,-16.84300836764706,-3.154428998620266,-20.75465305882353,-21.788938911764696
S1_MeanRev,hourly,C,0.47281195192800074,2.2703231893939395,-4.263331277777778,28.904040404040405,-3.0535777003985034,-16.63126771969697,-17.610855962121217,-3.7664247764188947,-22.031722265151515,-22.684301095959597
S1_MeanRev,hourly,D,0.37769400318361934,3.4313742794117643,-5.871751852941177,27.58823529411765,-2.275434151896457,-20.4211835375,-22.771899278676464,-2.8532583784446435,-27.236200056617644,-28.924609023529417
S2_Bollinger,daily,A,0.5501440303899849,6.178281610118942,-6.677440735294118,6.093093523306374,0.07205060499882435,1.7186132092650506,-8.725476838235295,-0.04412741003895444,0.6036961090515778,-9.351013764705883
S2_Bollinger,daily,B,0.7215399592503375,6.824076418206611,-5.3420359852941175,5.912815016783741,0.17192517129928586,2.4544016070262216,-7.1932568970588235,0.0397104293638961,1.3619829042311244,-7.7786705588235305
S2_Bollinger,daily,C,1.0644772425644426,7.712337428874625,-3.4560626698232326,9.514340297322438,-0.037842058598366396,1.3330694216489987,-6.186674266414141,-0.3059749012006956,-0.26174758015740773,-7.15903622159091
S2_Bollinger,daily,D,0.5904846419402772,10.05872036372908,-9.717375117647059,6.093093523306374,0.09313831001622838,2.996893396459867,-12.695759723529411,-0.02778091824955585,1.2314366546425644,-13.651162727941177
S2_Bollinger,hourly,A,0.22569181295988633,1.4071389558823528,-5.244140308823529,28.470588235294116,-2.256592199691306,-17.354919888235294,-18.81646304485294,-2.8038693422554744,-22.715508129411763,-23.811648402205872
S2_Bollinger,hourly,B,0.5183968983170867,2.5440338235294115,-3.1999984852941177,29.279411764705884,-2.8618174830311593,-16.75983874264706,-17.78988361985294,-3.478096150054998,-22.275230904411764,-23.097115177205872
S2_Bollinger,hourly,C,0.5269689087690262,3.850840673232323,-3.959857986363636,29.063131313131315,-2.94567686371768,-15.433982590909089,-17.190307080176773,-3.6377774530827596,-20.943932094949496,-22.31349843901515
S2_Bollinger,hourly,D,0.301523159005647,2.5872419852941175,-5.190207088235295,28.470588235294116,-2.2835208151590036,-18.321892934558825,-19.965049696323533,-2.849052643881251,-24.295931483088236,-25.489156938970588
S3_Donchian,daily,A,0.4112740074016646,10.963569561464302,-14.786070382352941,7.596002903985577,0.03876696902077481,5.079434217501455,-17.702111455882353,-0.053155979183017774,3.6084003815107444,-18.51574211764706
S3_Donchian,daily,B,0.7108951314422202,12.130724590554946,-9.07159175,8.661968554041488,0.16927345549578013,5.61184132645802,-12.060193432352943,0.03644087176053881,3.9821205104337896,-12.935692235294118
S3_Donchian,daily,C,0.7699141691800379,12.715650041682322,-7.795806367647058,11.094254222593209,-0.01862679410654436,4.8443843643376185,-11.048804305882355,-0.20750658544022457,2.8765679450014434,-12.13397248529412
S3_Donchian,daily,D,0.5978283329343438,20.17668733546234,-20.138985764705883,7.596002903985577,0.12873548568472665,8.977512797188666,-24.988234105882356,0.012616859434625816,6.17771916262025,-26.36803586764706
S3_Donchian,hourly,A,0.8230910275559328,13.085493779411763,-9.593828955882353,38.25,-1.4688401400473339,-13.768060138235295,-24.63745833161765,-2.0581246776520348,-21.44050411470588,-30.795686811029412
S3_Donchian,hourly,B,1.1371701326062311,14.059906794117646,-7.169034397058824,41.220588235294116,-1.6242825422612603,-14.054259901470587,-22.48755864338236,-2.296762550486617,-22.08687895735294,-29.04984366544118
S3_Donchian,hourly,C,1.1570471897469787,14.337369779411762,-6.548430617647059,20.852941176470587,-0.40678839440332215,-0.0742724058823534,-11.985371706617649,-0.8159534383523797,-4.191884458823528,-14.49651014632353
S3_Donchian,hourly,D,0.8897184547379628,22.052390911764707,-14.178568588235292,38.25,-1.4999194871031465,-21.533655350735295,-38.20252260367647,-2.1135831365315525,-33.98681142573528,-48.17972523088235
S4_Supertrend,daily,A,0.5098312391613583,9.213067927358338,-8.477748,4.9168749244623395,0.20158847811185643,5.846809982850393,-10.144602720588235,0.125771765576177,5.005245496723409,-10.597982852941177
S4_Supertrend,daily,B,0.713357918723795,7.743246541872361,-4.5740049411764705,5.368818591015792,0.26160532734380637,4.446898896199183,-6.051506191176471,0.15038195336998106,3.62281198478089,-6.483831014705882
S4_Supertrend,daily,C,0.929830714278236,9.024687744353034,-4.657098733333333,8.893058545073465,0.18366309383220888,3.755124343696444,-6.647892283333334,0.011597096144972521,2.437733493532296,-7.330312966666668
S4_Supertrend,daily,D,0.6230643043500801,13.199529595689757,-11.672110338235294,4.9168749244623395,0.255901524826466,7.355673948484019,-14.120476011764707,0.1654461142888163,5.894710036682585,-14.808945492647059
S4_Supertrend,hourly,A,0.615247882622662,8.347862823529413,-7.905857970588236,24.573529411764707,-1.0424240423392306,-7.253215604411766,-16.227227472058825,-1.4715295815511857,-11.710666583823528,-19.541073936764707
S4_Supertrend,hourly,B,0.8650155485837931,7.844366529411765,-5.378549147058823,24.955882352941178,-1.2485960068388058,-7.717594251470588,-13.54870792794118,-1.7659431436155693,-12.163868760294116,-16.782559980882354
S4_Supertrend,hourly,C,0.9130171831749808,9.938356970588236,-5.942045294117647,15.441176470588236,-0.37064946394669973,0.25639618970588174,-9.836698251470587,-0.7063026058880246,-2.5098783191176457,-11.514813672058825
S4_Supertrend,hourly,D,0.7123930256368404,11.979163176470587,-11.02134963235294,24.573529411764707,-1.070133864166084,-11.154508429411765,-23.171740186764705,-1.5309761038323197,-17.76412888823529,-28.05303030735294
S5_PivotPoints,daily,A,-0.1508810878360425,-0.5069711441941969,-3.6137163970588233,4.054412770429131,-1.0318925909989545,-4.365841249635727,-6.120682082352942,-1.209970346502634,-5.330558775996108,-6.917652345588236
S5_PivotPoints,daily,B,0.18960694661352756,0.6925998657663612,-2.456699367647059,3.967949976387499,-0.8603959645107784,-2.828012516729234,-4.537296014705882,-1.0649434049972557,-3.708165612353133,-5.240606470588236
S5_PivotPoints,daily,C,-0.12249419077297788,-0.4179765897392387,-2.1480847499999998,3.778971469746653,-1.218562941243313,-3.6565383809211762,-4.116521125,-1.442275668337815,-4.466178828716661,-4.75389175
S5_PivotPoints,daily,D,-0.10842423301255932,0.6118236689600323,-5.511939808823529,4.054412770429131,-1.010513252431442,-6.087807745908275,-9.488497120588235,-1.1931401124510221,-7.762715599625351,-10.799323036764706
S5_PivotPoints,hourly,A,-0.15433253312412198,0.2582159558823529,-4.2495904705882355,24.073529411764707,-3.8303223984298187,-16.95835271617647,-17.955453119852947,-4.439884061416242,-21.877372336764704,-22.667683221323532
S5_PivotPoints,hourly,B,0.1997971307697758,1.5475005294117647,-3.397470882352941,24.205882352941178,-3.7927939992928557,-15.726028882352942,-16.74476022058824,-4.39382161874368,-20.661322999999996,-21.481668029411768
S5_PivotPoints,hourly,C,0.26886842191617644,1.7471248444444445,-3.715938422222222,18.424999999999997,-2.78999858630489,-11.620282569444445,-12.546726316944445,-3.3610797078533388,-15.439541830555555,-15.919890318611111
S5_PivotPoints,hourly,D,-0.08203322805068367,-0.0542519852941179,-5.750039838235294,24.073529411764707,-3.813336356952266,-21.861579248529413,-23.019662188970592,-4.430239788684648,-28.09224418088235,-29.005519583823528
