sharpe,ann_ret_pct,ann_vol_pct,max_dd_pct,exposure_pct,n_trades,win_rate_pct,year,approach,strategy,timeframe,ticker,commission
-0.4576,-1.0,2.18,-3.13,0.56,4,50.0,2025,A,S1_MeanRev,hourly,MOEX,0bps
0.093,0.93,9.98,-12.97,6.54,78,44.9,2022,B,S1_MeanRev,hourly,MOEX,0bps
-0.5168,-4.34,8.39,-10.92,12.47,72,43.1,2023,B,S1_MeanRev,hourly,MOEX,0bps
0.0,0.0,0.0,0.0,0.0,0,0.0,2024,B,S1_MeanRev,hourly,MOEX,0bps
0.1516,0.22,1.46,-1.43,0.18,4,50.0,2025,B,S1_MeanRev,hourly,MOEX,0bps
-0.1555,-0.58,3.72,-3.83,2.98,18,44.4,2022,C,S1_MeanRev,hourly,MOEX,0bps
1.1773,3.94,3.35,-2.27,3.54,18,50.0,2023,C,S1_MeanRev,hourly,MOEX,0bps
0.4228,19.0,44.93,-43.72,13.98,70,48.6,2022,D,S1_MeanRev,hourly,MOEX,0bps
-1.1499,-6.36,5.53,-8.47,11.94,71,39.4,2023,D,S1_MeanRev,hourly,MOEX,0bps
0.0,0.0,0.0,0.0,0.0,0,0.0,2024,D,S1_MeanRev,hourly,MOEX,0bps
-0.3811,-0.73,1.9,-2.61,0.56,4,50.0,2025,D,S1_MeanRev,hourly,MOEX,0bps
-0.2785,-2.42,8.68,-9.09,20.49,79,41.8,2020,A,S2_Bollinger,hourly,MOEX,0bps
-0.0204,-0.13,6.16,-7.09,18.82,71,57.7,2021,A,S2_Bollinger,hourly,MOEX,0bps
0.1745,2.72,15.57,-18.9,15.47,68,44.1,2022,A,S2_Bollinger,hourly,MOEX,0bps
-0.9894,-7.92,8.01,-11.58,13.25,71,39.4,2023,A,S2_Bollinger,hourly,MOEX,0bps
0.0,0.0,0.0,0.0,0.0,0,0.0,2024,A,S2_Bollinger,hourly,MOEX,0bps
-0.3268,-0.72,2.2,-2.92,0.6,4,50.0,2025,A,S2_Bollinger,hourly,MOEX,0bps
0.2033,2.1,10.32,-13.6,7.02,76,42.1,2022,B,S2_Bollinger,hourly,MOEX,0bps
-1.6224,-8.49,5.23,-10.52,6.52,74,40.5,2023,B,S2_Bollinger,hourly,MOEX,0bps
