strategy,tf,approach,ticker,year,gross_sharpe,gross_ann_ret_pct,gross_max_dd_pct,trades_per_year,exposure_pct,net_min_sharpe,net_min_ann_ret_pct,net_min_max_dd_pct,net_max_sharpe,net_max_ann_ret_pct,net_max_max_dd_pct
S1_MeanRev,daily,A,AFLT,2022,1.5723296793868835,33.93446861538461,-10.196034999999998,7.538461538461538,9.82905982905983,1.2942572404218502,27.903699384615386,-10.996035000000001,1.223710894507664,26.396007076923077,-11.196035000000002
S1_MeanRev,daily,A,AFLT,2023,-1.1376971845480546,-14.915446440944885,-18.797256000000008,8.929133858267717,12.598425196850393,-1.6622662964227313,-22.05875352755906,-25.597256,-1.7872809318330287,-23.844580299212602,-27.297256000000004
S1_MeanRev,daily,A,AFLT,2024,0.24645941052204884,3.4534365468749986,-9.340143000000001,8.859375,16.015625,-0.2584545014824064,-3.634063453124999,-12.059702999999999,-0.3833398655020097,-5.405938453124999,-12.859703
S1_MeanRev,daily,A,AFLT,2025,1.583765583393997,8.967232188679246,-2.5047689999999996,3.169811320754717,5.031446540880504,1.1482173412847756,6.43138313207547,-3.7047690000000006,1.032751205043542,5.797420867924528,-4.0047690000000005
S1_MeanRev,daily,A,ALRS,2022,0.7735380129455351,11.806831076923077,-16.51167300000001,11.846153846153845,26.923076923076923,0.18085761347067156,2.76067723076923,-20.51167300000001,0.03262981491011987,0.49913876923076667,-21.51167300000001
S1_MeanRev,daily,A,ALRS,2023,-0.727970600713542,-7.372520929133858,-15.355637000000003,10.913385826771654,25.590551181102363,-1.5632933701530622,-16.10322959055118,-21.159986999999997,-1.7601368209518806,-18.285906755905508,-22.959987000000005
S1_MeanRev,daily,A,ALRS,2024,-1.5409216324223667,-10.019667656250002,-12.266268,5.90625,7.8125,-1.996758008389478,-13.248417656250004,-15.125639000000001,-2.1001667030778584,-14.055605156250001,-15.885639000000005
S1_MeanRev,daily,A,ALRS,2025,-0.6955888160784233,-6.444535471698114,-14.490668999999997,5.547169811320755,7.547169811320755,-1.13454715588387,-10.882271320754718,-19.267513,-1.2363622348348018,-11.991705283018868,-20.467513000000004
S1_MeanRev,daily,A,HYDR,2022,1.3219241126881205,14.03721523076923,-8.253044999999998,7.538461538461538,14.102564102564102,0.7730580567870446,8.006446000000002,-9.853044999999996,0.629428160617692,6.4987536923076945,-10.253045
S1_MeanRev,daily,A,HYDR,2023,-0.3245323151318949,-2.6911486771653537,-8.819267,10.913385826771654,30.708661417322837,-1.1995991317334016,-10.151936078740158,-12.776691999999997,-1.406806031101478,-12.017132929133858,-14.516692000000003
S1_MeanRev,daily,A,HYDR,2024,-0.4657862253040028,-3.980512265625,-9.226252000000002,7.875,11.328125,-1.124665179160897,-9.886762265625,-13.571549000000003,-1.278159275417486,-11.363324765624998,-14.771549
S1_MeanRev,daily,A,HYDR,2025,-0.15965109122179952,-1.2213362264150942,-8.910593,7.9245283018867925,10.69182389937107,-0.9784888759723225,-7.560958867924528,-14.510593,-1.173407004830504,-9.145864528301887,-15.910593
S1_MeanRev,daily,A,IRAO,2022,2.1327823543992666,24.303318307692308,-0.23032599999999998,2.1538461538461537,3.418803418803419,2.000108907518014,22.58024138461538,-0.40000000000000036,1.9649328221506486,22.14947215384615,-0.5000000000000004
S1_MeanRev,daily,A,IRAO,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1_MeanRev,daily,A,IRAO,2024,0.2212199538199565,0.9110685937499998,-2.641156,1.96875,3.125,-0.15995880611715102,-0.6639314062500002,-3.1989170000000002,-0.25319963941369467,-1.0576814062500002,-3.398917
S1_MeanRev,daily,A,IRAO,2025,0.689080772370322,3.3845394303797476,-3.762012000000001,3.189873417721519,5.69620253164557,0.16804176717761626,0.8326406962025322,-4.9620120000000005,0.0389863103228021,0.19466601265822842,-5.2620119999999995
S1_MeanRev,daily,A,LKOH,2022,1.2681348279918638,15.87834984615385,-5.984700000000004,5.384615384615384,13.675213675213676,0.9994186535169864,12.346042153846154,-7.802390000000008,0.9301281947516932,11.462965230769234,-8.362390000000003
S1_MeanRev,daily,A,LKOH,2023,-0.3671904818424953,-4.162518141732283,-12.562016000000002,11.905511811023622,24.409448818897637,-1.15369140776448,-13.686927590551187,-16.484039,-1.3354692449872294,-16.068029952755907,-17.624039
S1_MeanRev,daily,A,LKOH,2024,1.5789525472369554,15.207195937500002,-4.474205,12.796875,22.265625,0.5948228433382438,5.914695937499999,-6.163907,0.35686386059702735,3.5915709375000002,-7.146187000000001
S1_MeanRev,daily,A,LKOH,2025,-0.6996628675779701,-4.073656867924528,-7.960286000000003,7.132075471698114,16.666666666666664,-1.6456598081852458,-9.77931724528302,-14.360286,-1.860778285391341,-11.205732339622642,-15.960286000000007
S1_MeanRev,daily,A,LSRG,2022,0.686006789904774,4.300588551724139,-3.1623690000000004,5.431034482758621,9.051724137931034,0.10343944377280712,0.650933379310345,-4.282369,-0.04131027915250503,-0.26148041379310394,-4.562369
S1_MeanRev,daily,A,LSRG,2023,1.0223305794399167,8.71291190551181,-3.5374600000000007,8.929133858267717,16.92913385826772,0.5838320537086951,4.903148125984251,-4.0762089999999995,0.4710158186653354,3.9507071811023615,-4.356209000000001
S1_MeanRev,daily,A,LSRG,2024,0.9409472007392887,22.99436803125,-12.355642000000005,8.859375,26.953125,0.6336435235834664,15.434368031249997,-14.268508000000002,0.5561085127296603,13.544368031250004,-14.868508000000002
S1_MeanRev,daily,A,LSRG,2025,2.093122187436188,28.51138323870968,-3.585767,8.941935483870967,33.225806451612904,1.642977793373985,22.39835098064516,-4.1687330000000005,1.5284048167961666,20.870092916129035,-4.328733
S1_MeanRev,daily,A,MGNT,2022,-0.9151840027223357,-9.70859076923077,-11.548352999999999,10.769230769230768,19.230769230769234,-1.691448560397142,-18.66859076923077,-17.33512,-1.8691121244177937,-20.90859076923077,-19.41512000000001
S1_MeanRev,daily,A,MGNT,2023,0.7901346512162845,5.372902913385827,-7.7092030000000005,6.94488188976378,11.811023622047244,-0.026450619068677704,-0.1830025984251969,-10.509203000000003,-0.2247209204351449,-1.5719789763779535,-11.209203000000002
S1_MeanRev,daily,A,MGNT,2024,0.6355319716088877,9.50361890625,-11.594978000000003,16.734375,39.84375,-0.1110363470594377,-1.6788810937499996,-16.962728000000006,-0.29444820977665276,-4.4745060937500005,-18.942728000000006
S1_MeanRev,daily,A,MGNT,2025,0.5738356593872039,7.310581811320755,-7.522245,9.50943396226415,22.32704402515723,-0.023071566792704844,-0.2969653584905656,-10.469486,-0.16994890929835935,-2.1988521509433965,-12.269485999999999
