sharpe,ann_ret_pct,ann_vol_pct,max_dd_pct,exposure_pct,n_trades,win_rate_pct,year,approach,strategy,timeframe,ticker
0.9807,22.92,23.37,-6.84,24.79,4,75.0,2022,D,S4_Supertrend,daily,MOEX
0.2142,1.26,5.86,-4.15,7.87,5,60.0,2023,D,S4_Supertrend,daily,MOEX
-0.3486,-2.46,7.05,-8.82,18.36,7,42.9,2024,D,S4_Supertrend,daily,MOEX
1.2773,6.88,5.38,-4.26,34.59,9,44.4,2025,D,S4_Supertrend,daily,MOEX
0.5612,4.61,8.22,-6.2,12.44,44,54.5,2020,A,S1_MeanRev,hourly,MOEX
-0.2797,-1.58,5.64,-7.2,7.32,28,67.9,2021,A,S1_MeanRev,hourly,MOEX
0.4228,6.33,14.98,-14.57,13.98,70,48.6,2022,A,S1_MeanRev,hourly,MOEX
-1.1499,-8.99,7.82,-11.98,11.94,71,39.4,2023,A,S1_MeanRev,hourly,MOEX
0.0,0.0,0.0,0.0,0.0,0,0.0,2024,A,S1_MeanRev,hourly,MOEX
-0.4576,-1.0,2.18,-3.13,0.56,4,50.0,2025,A,S1_MeanRev,hourly,MOEX
0.093,0.93,9.98,-12.97,6.54,78,44.9,2022,B,S1_MeanRev,hourly,MOEX
-0.5168,-4.34,8.39,-10.92,12.47,72,43.1,2023,B,S1_MeanRev,hourly,MOEX
0.0,0.0,0.0,0.0,0.0,0,0.0,2024,B,S1_MeanRev,hourly,MOEX
0.1516,0.22,1.46,-1.43,0.18,4,50.0,2025,B,S1_MeanRev,hourly,MOEX
-0.1555,-0.58,3.72,-3.83,2.98,18,44.4,2022,C,S1_MeanRev,hourly,MOEX
1.1773,3.94,3.35,-2.27,3.54,18,50.0,2023,C,S1_MeanRev,hourly,MOEX
0.4228,19.0,44.93,-43.72,13.98,70,48.6,2022,D,S1_MeanRev,hourly,MOEX
-1.1499,-6.36,5.53,-8.47,11.94,71,39.4,2023,D,S1_MeanRev,hourly,MOEX
0.0,0.0,0.0,0.0,0.0,0,0.0,2024,D,S1_MeanRev,hourly,MOEX
-0.3811,-0.73,1.9,-2.61,0.56,4,50.0,2025,D,S1_MeanRev,hourly,MOEX
-0.2785,-2.42,8.68,-9.09,20.49,79,41.8,2020,A,S2_Bollinger,hourly,MOEX
-0.0204,-0.13,6.16,-7.09,18.82,71,57.7,2021,A,S2_Bollinger,hourly,MOEX
0.1745,2.72,15.57,-18.9,15.47,68,44.1,2022,A,S2_Bollinger,hourly,MOEX
-0.9894,-7.92,8.01,-11.58,13.25,71,39.4,2023,A,S2_Bollinger,hourly,MOEX
0.0,0.0,0.0,0.0,0.0,0,0.0,2024,A,S2_Bollinger,hourly,MOEX
-0.3268,-0.72,2.2,-2.92,0.6,4,50.0,2025,A,S2_Bollinger,hourly,MOEX
0.2033,2.1,10.32,-13.6,7.02,76,42.1,2022,B,S2_Bollinger,hourly,MOEX
-1.6224,-8.49,5.23,-10.52,6.52,74,40.5,2023,B,S2_Bollinger,hourly,MOEX
0.0,0.0,0.0,0.0,0.0,0,0.0,2024,B,S2_Bollinger,hourly,MOEX
0.1516,0.22,1.46,-1.43,0.18,4,50.0,2025,B,S2_Bollinger,hourly,MOEX
0.3921,1.79,4.56,-3.88,5.0,26,50.0,2022,C,S2_Bollinger,hourly,MOEX
1.2975,4.3,3.32,-2.27,3.02,16,50.0,2023,C,S2_Bollinger,hourly,MOEX
0.1745,1.92,11.01,-13.37,15.47,68,44.1,2022,D,S2_Bollinger,hourly,MOEX
-0.9894,-9.71,9.81,-14.19,13.25,71,39.4,2023,D,S2_Bollinger,hourly,MOEX
0.0,0.0,0.0,0.0,0.0,0,0.0,2024,D,S2_Bollinger,hourly,MOEX
-0.3042,-0.64,2.11,-2.8,0.6,4,50.0,2025,D,S2_Bollinger,hourly,MOEX
0.6657,6.84,10.27,-10.45,22.67,40,40.0,2020,A,S3_Donchian,hourly,MOEX
0.8722,7.2,8.25,-6.08,9.59,31,54.8,2021,A,S3_Donchian,hourly,MOEX
1.6511,20.66,12.51,-8.03,8.46,37,43.2,2022,A,S3_Donchian,hourly,MOEX
2.3414,25.45,10.87,-4.94,27.21,48,47.9,2023,A,S3_Donchian,hourly,MOEX
0.504,4.21,8.36,-6.78,17.99,36,47.2,2024,A,S3_Donchian,hourly,MOEX
0.8239,9.88,11.99,-5.14,12.71,44,43.2,2025,A,S3_Donchian,hourly,MOEX
2.092,27.68,13.23,-5.4,8.22,37,45.9,2022,B,S3_Donchian,hourly,MOEX
1.8626,17.52,9.41,-4.73,17.02,58,46.6,2023,B,S3_Donchian,hourly,MOEX
1.7815,10.65,5.98,-3.18,8.26,42,47.6,2024,B,S3_Donchian,hourly,MOEX
0.5236,5.36,10.24,-5.04,2.8,49,38.8,2025,B,S3_Donchian,hourly,MOEX
1.7033,21.27,12.49,-8.01,8.12,34,44.1,2022,C,S3_Donchian,hourly,MOEX
2.9439,26.88,9.13,-5.27,14.74,33,57.6,2023,C,S3_Donchian,hourly,MOEX
1.9489,6.52,3.35,-1.37,7.82,12,58.3,2024,C,S3_Donchian,hourly,MOEX
-0.0264,-0.04,1.65,-1.56,1.3,7,57.1,2025,C,S3_Donchian,hourly,MOEX
1.8191,22.52,12.38,-7.19,8.46,37,43.2,2022,D,S3_Donchian,hourly,MOEX
2.2768,22.25,9.77,-5.13,27.21,48,47.9,2023,D,S3_Donchian,hourly,MOEX
0.639,5.19,8.13,-6.52,17.99,36,47.2,2024,D,S3_Donchian,hourly,MOEX
