sharpe,ann_ret_pct,ann_vol_pct,max_dd_pct,exposure_pct,n_trades,win_rate_pct,year,approach,strategy,timeframe,ticker
1.5837,12.37,7.81,-3.67,14.8,5,60.0,2020,A,S1_MeanRev,daily,LSRG
0.2004,1.97,9.84,-9.64,32.16,12,50.0,2021,A,S1_MeanRev,daily,LSRG
0.614,3.84,6.26,-3.3,9.05,5,40.0,2022,A,S1_MeanRev,daily,LSRG
0.9385,8.1,8.63,-3.61,7.48,4,50.0,2023,A,S1_MeanRev,daily,LSRG
0.9029,22.05,24.42,-12.56,26.95,9,55.6,2024,A,S1_MeanRev,daily,LSRG
1.9399,24.67,12.72,-3.61,32.26,11,81.8,2025,A,S1_MeanRev,daily,LSRG
1.2784,8.66,6.78,-2.51,6.9,5,40.0,2022,B,S1_MeanRev,daily,LSRG
1.7744,13.59,7.66,-0.27,3.15,4,100.0,2023,B,S1_MeanRev,daily,LSRG
1.3232,7.83,5.92,-1.54,3.52,9,77.8,2024,B,S1_MeanRev,daily,LSRG
0.2324,1.58,6.82,-8.98,6.77,13,53.8,2025,B,S1_MeanRev,daily,LSRG
1.1071,6.75,6.1,-1.87,4.31,5,40.0,2022,C,S1_MeanRev,daily,LSRG
1.6391,3.8,2.32,-0.41,1.97,4,100.0,2023,C,S1_MeanRev,daily,LSRG
0.8691,13.25,15.25,-10.8,12.5,13,46.2,2024,C,S1_MeanRev,daily,LSRG
2.0044,14.36,7.16,-2.6,15.16,17,70.6,2025,C,S1_MeanRev,daily,LSRG
0.6348,4.97,7.82,-4.09,9.05,5,40.0,2022,D,S1_MeanRev,daily,LSRG
0.9597,8.25,8.6,-3.42,7.48,4,50.0,2023,D,S1_MeanRev,daily,LSRG
0.931,45.32,48.67,-25.11,26.95,9,55.6,2024,D,S1_MeanRev,daily,LSRG
2.0203,50.51,25.0,-7.17,32.26,11,81.8,2025,D,S1_MeanRev,daily,LSRG
0.0629,0.53,8.43,-6.62,14.0,8,37.5,2020,A,S2_Bollinger,daily,LSRG
0.1276,1.2,9.4,-9.64,24.71,9,55.6,2021,A,S2_Bollinger,daily,LSRG
0.7635,4.96,6.49,-3.31,8.19,4,50.0,2022,A,S2_Bollinger,daily,LSRG
0.5054,4.75,9.4,-4.31,12.2,4,50.0,2023,A,S2_Bollinger,daily,LSRG
0.9183,22.68,24.7,-12.56,28.91,9,55.6,2024,A,S2_Bollinger,daily,LSRG
1.2075,13.04,10.8,-3.62,22.9,9,77.8,2025,A,S2_Bollinger,daily,LSRG
1.399,9.78,6.99,-2.05,6.03,4,50.0,2022,B,S2_Bollinger,daily,LSRG
1.7744,13.59,7.66,-0.27,3.15,4,100.0,2023,B,S2_Bollinger,daily,LSRG
1.3232,7.83,5.92,-1.54,3.52,9,77.8,2024,B,S2_Bollinger,daily,LSRG
0.5861,3.59,6.13,-6.31,4.19,9,55.6,2025,B,S2_Bollinger,daily,LSRG
1.1595,7.36,6.34,-1.88,4.31,5,40.0,2022,C,S2_Bollinger,daily,LSRG
0.7816,3.13,4.01,-2.89,3.94,6,83.3,2023,C,S2_Bollinger,daily,LSRG
0.672,10.34,15.38,-12.42,13.67,13,53.8,2024,C,S2_Bollinger,daily,LSRG
0.6923,4.27,6.16,-2.48,8.39,11,54.5,2025,C,S2_Bollinger,daily,LSRG
