ticker,model,MSE,RMSE,MAE,MAPE,R2,QLIKE,Correlation
AFLT,har,2.9365473992103837e-08,0.00017136357253542492,0.00010950925194259126,110.71831311183904,-0.050793839225570014,-7.684540041446042,0.13206119786566115
ALRS,har,4.579911440549247e-08,0.00021400727652463704,8.862030998147694e-05,71.85704217587818,0.011522611081037026,-7.674127044812239,0.15278615590191633
HYDR,har,4.296209914601198e-08,0.00020727300631295909,9.241095075086662e-05,85.98938092039437,0.024664858148515156,-7.818710491275483,0.19461957833736793
IRAO,har,3.860966027245345e-07,0.000621366721610141,0.00018922032687263934,89.26046378370339,0.04153699386280818,-7.120422889312179,0.21017170708764357
LKOH,har,2.6105209834739172e-08,0.00016157106744321266,0.00011197686968117477,152.95689077636862,-0.18125656511268873,-7.814904037953563,0.13342400617883848
LSRG,har,3.176694076023258e-07,0.0005636216883711323,0.00015614418624993118,105.05214261081062,-0.023249139124236873,-7.37501987311913,0.017865401738418447
MGNT,har,2.8566522011245157e-08,0.00016901633652178466,0.00013643863700839456,129.01001483572261,-0.30523458948844917,-7.557608550954712,0.3019682098560435
MOEX,har,1.419229050760401e-07,0.00037672656539729194,8.79883595218657e-05,71.71022004036371,-0.01967586925435838,-7.756406487255298,-0.015714499754142335
MTLR,har,1.5673625346488903e-07,0.0003958992971260356,0.00020966914272420263,90.13123984794265,0.07924216257957184,-7.032508938632675,0.3022012567934287
MTSS,har,8.168758140036931e-08,0.0002858103941433364,9.798493450260678e-05,75.60390674176196,-0.034790975432293036,-7.677459471037234,-0.0025714510314905617
NVTK,har,2.322575253801259e-08,0.00015239997551841204,0.0001316101774692827,108.27681391611088,-0.973842289052884,-7.488145698824599,0.14106750707291957
OGKB,har,1.2977527966470091e-07,0.00036024336172190726,0.00022836621030871234,65.75656442984096,-0.0013864344135643414,-6.671472085560602,0.20470521585376739
PHOR,har,1.1430153476742088e-08,0.0001069118958616958,7.080340299938182e-05,83.39814122307953,-0.1110805778683106,-7.959684963522284,0.0468031269203903
RTKM,har,4.712636847668771e-08,0.00021708608540550845,8.801384410776395e-05,82.63893483540377,-0.0019964173250546224,-7.780096264342945,0.15007651122689444
SBER,har,6.013517780200945e-08,0.0002452247495706937,0.0001462195289163408,138.67821209309508,-0.20748480032811645,-7.665939427255457,0.14827386313640958
TATN,har,5.0545154991821824e-08,0.000224822496631947,0.00010944302143722682,60.84448517528013,-0.018397680224787605,-7.398974477095801,0.12591723726121914
VTBR,har,6.586404769366058e-08,0.0002566399183557784,0.00012368943018920852,86.43540521130679,-0.02976941870606553,-7.480351543271122,0.10825068237599052
