ticker,model,MSE,RMSE,MAE,MAPE,R2,QLIKE,Correlation
AFLT,har,1.159491232375885e-07,0.0003405130294681666,0.00032497760121924236,386.5987059706594,-3.153575144900924,-7.3144407170059536,0.11824640588391681
ALRS,har,4.682909289121408e-08,0.00021640030704972227,9.697780858531115e-05,82.90697454048296,-0.01022729909459752,-7.663451722839582,0.08080708929624987
HYDR,har,4.694542362498115e-08,0.0002166689263022761,0.00011039632741053432,109.83851996750627,-0.01765134416529568,-7.735830952536266,0.10050358149593439
IRAO,har,4.05458215783711e-07,0.0006367560096172716,0.000216310780085112,106.25798765249775,0.025043512761625863,-7.054407855850375,0.1724726895173072
LKOH,har,2.2726396764225416e-08,0.0001507527670201294,8.545354810453238e-05,96.45920041939185,-0.02868536812519973,-7.846832355419404,0.08136752062870886
LSRG,har,3.177990147542736e-07,0.0005637366537260759,0.00016495138368988172,121.1934956824595,-0.02348883524895884,-7.33611410693833,-0.024011006487260164
MGNT,har,3.9986682391463507e-08,0.0001999667032069677,0.0001678645794286923,162.19880116711036,-0.523896919787437,-7.504585884216065,0.25286984887467795
MOEX,har,1.4404689495096953e-07,0.0003795351037137007,9.442507637416118e-05,84.73599159826438,-0.03467172116537487,-7.667640968291251,-0.08872304960151824
MTLR,har,2.67946785577837e-06,0.0016369080168959923,0.00041203281692476785,125.46121493554926,-0.0345477228377562,-5.855760616662724,-0.12150791282027618
MTSS,har,8.421816162601192e-08,0.0002902036554318569,0.00010912241011756194,88.47515615256147,-0.033400571274722735,-7.682535000416363,-0.034827978612434765
NVTK,har,1.2651683256932547e-08,0.00011247970153291014,8.454761138626682e-05,61.3800178187002,-0.05518356047599626,-7.5549886571671045,0.07359556095097257
OGKB,har,1.3759076124484492e-07,0.0003709322866034243,0.00024447328552332925,74.54902037129445,-0.057273191216708375,-6.641699161171695,0.07879302826039526
PHOR,har,1.2470226790626943e-08,0.00011167016965433044,7.913315391663581e-05,102.3428481674098,-0.21315536477145258,-7.955486613221733,-0.026122757328906652
RTKM,har,4.545912862254366e-08,0.0002132114645663869,9.908222195823442e-05,104.52367203069541,-0.04491093863418638,-7.720192046367475,0.04522746845358469
SBER,har,6.991762944023495e-08,0.00026441941955959844,0.0001817805669579195,185.08508403882666,-0.4027334194060852,-7.5887688578511785,0.13043028797353773
TATN,har,4.771688026037574e-08,0.00021844193796149983,0.00011348851744287076,69.71453922705533,-0.031157011278141855,-7.426123151027672,0.07173048428354051
VTBR,har,6.644356962593924e-08,0.0002577665021408702,0.00013109916935989677,105.45104185366587,-0.0406214862218468,-7.483910026479358,0.020899317895323472
