sharpe,ann_ret_pct,ann_vol_pct,max_dd_pct,exposure_pct,n_trades,trades_per_yr,win_rate_pct,year,approach,strategy,timeframe,ticker
-0.3026,-2.3,7.59,-4.98,9.77,5,4.9,60.0,2024,B,S2_Bollinger,daily,MOEX
0.6562,6.22,9.49,-5.37,19.81,9,7.1,55.6,2025,B,S2_Bollinger,daily,MOEX
0.6448,8.51,13.2,-7.45,30.82,14,11.1,57.1,2025,C,S2_Bollinger,daily,MOEX
0.4809,2.23,4.63,-3.66,6.41,2,2.2,50.0,2022,D,S2_Bollinger,daily,MOEX
1.0493,7.06,6.72,-3.4,3.15,2,2.0,100.0,2023,D,S2_Bollinger,daily,MOEX
1.5261,7.07,4.63,-0.66,1.95,1,1.0,100.0,2024,D,S2_Bollinger,daily,MOEX
1.3738,6.46,4.7,-1.34,2.52,1,0.8,100.0,2025,D,S2_Bollinger,daily,MOEX
1.4731,35.2,23.89,-13.16,43.2,8,8.1,62.5,2020,A,S3_Donchian,daily,MOEX
-0.4256,-8.7,20.45,-29.3,74.51,4,4.0,50.0,2021,A,S3_Donchian,daily,MOEX
1.2183,55.09,45.22,-25.72,98.29,2,2.2,50.0,2022,A,S3_Donchian,daily,MOEX
2.0101,51.76,25.75,-17.61,88.98,2,2.0,100.0,2023,A,S3_Donchian,daily,MOEX
-1.1479,-23.53,20.5,-36.26,46.88,4,3.9,25.0,2024,A,S3_Donchian,daily,MOEX
-0.8658,-13.45,15.53,-31.58,40.57,6,4.8,0.0,2025,A,S3_Donchian,daily,MOEX
0.9163,24.75,27.01,-7.44,8.97,5,5.4,80.0,2022,B,S3_Donchian,daily,MOEX
1.8317,31.5,17.2,-7.22,28.74,10,9.9,60.0,2023,B,S3_Donchian,daily,MOEX
-0.3978,-4.43,11.13,-7.92,19.14,5,4.9,40.0,2024,B,S3_Donchian,daily,MOEX
-0.8441,-5.81,6.88,-11.97,12.89,7,5.5,42.9,2025,B,S3_Donchian,daily,MOEX
0.9475,31.74,33.5,-15.49,18.8,12,12.9,41.7,2022,C,S3_Donchian,daily,MOEX
2.005,29.22,14.57,-3.66,24.8,16,15.9,62.5,2023,C,S3_Donchian,daily,MOEX
0.3612,3.97,10.99,-11.91,10.16,10,9.8,40.0,2024,C,S3_Donchian,daily,MOEX
-0.8603,-4.99,5.8,-7.28,7.86,9,7.1,33.3,2025,C,S3_Donchian,daily,MOEX
1.9096,58.2,30.48,-21.06,84.19,10,10.8,80.0,2022,D,S3_Donchian,daily,MOEX
2.0101,51.76,25.75,-17.61,88.98,2,2.0,100.0,2023,D,S3_Donchian,daily,MOEX
-1.0462,-21.15,20.22,-36.44,46.09,6,5.9,16.7,2024,D,S3_Donchian,daily,MOEX
-0.4805,-5.38,11.21,-19.25,17.3,2,1.6,50.0,2025,D,S3_Donchian,daily,MOEX
1.9283,24.07,12.48,-4.03,10.0,3,3.0,100.0,2020,A,S4_Supertrend,daily,MOEX
1.2581,9.79,7.78,-4.6,9.02,3,3.0,66.7,2021,A,S4_Supertrend,daily,MOEX
1.441,60.56,42.03,-23.15,70.94,2,2.2,100.0,2022,A,S4_Supertrend,daily,MOEX
-1.0568,-7.69,7.28,-11.92,16.54,2,2.0,50.0,2023,A,S4_Supertrend,daily,MOEX
-0.6777,-13.28,19.6,-23.39,41.02,4,3.9,0.0,2024,A,S4_Supertrend,daily,MOEX
0.2668,5.0,18.74,-18.52,58.18,5,4.0,60.0,2025,A,S4_Supertrend,daily,MOEX
